_id,title,good_text,bad_text,normal_text,star,time,convert_time
6377b5ddf0d34eda0f186694,內外不一致的優秀飯店”,,,"1.)雖飯店的外觀與大廳看得出年紀,但客房的裝潢新穎 2.)飯店有自營的麵包坊,價格實惠種類豐富,若早餐懶得去餐廳吃,也可以前一天晚上先在 一樓買麵包,或者它一早07:00就營業了 3.)飯店旁就是文湖線捷運站入口,僅10公尺距離,或是過個馬路對面南京松山線入口 ,門口也有多路線公車 4.)飯店內的餐飲也不錯,特別是2F的港式飲茶,居然還有現做的馬拉糕,實屬難得 5.)每回去臺北過夜的唯選飯店",9.2,2020年10月24日星期六,2020/10/24
6377b5ddf0d34eda0f186695,超棒”,,,身為台北人，對兄弟飯店的印象就在於有名的飲茶和一樓有許多便宜又好吃的蛋糕和麵包，但由於外觀並沒有向大型飯店和新型旅館那樣吸引人，所以其實也都沒有推薦給外地友人到台北來住宿的選項。因為我當天有事情會忙到很晚然後隔天早上7點多又有重要的考試，就決定和朋友一起住在離考場10分鐘距離的兄弟飯店。想不到雙房床相當舒適寬敞，還放置一個小沙發，基本上該有的東西都有。一出飯店就是捷運站，所以附近生活機能相當方便，若之後又有烤是在附近，應該也會再入住。,10.0,2018年8月20日星期一,2018/8/20
6377b5def0d34eda0f186696,舒適！方便！令人放心”,,,住到翻新後的房間 ，房間內裝很似日本4星旅館 ，寬敞又舒適。浴室很大 ，浴缸能躺下不用屈就 ，蓮蓬頭有4種調整 ，熱水很給力；備品有沐浴膠/洗發精/身體乳/香皂/牙刷/平梳子/浴帽/刮鬍刀/化妝棉/棉棒；免治馬座很舒適；房間內照明充足到有點浪費～（笑）、書桌上有另外備桌燈及化妝鏡 ，化妝時非常方便。 有小冰箱 ，還附4瓶水跟3瓶飲料都是免費（超貼心） 空調也很剛好 ，只是暖氣來得不快 ，一下調太熱半夜會渴（笑） 窗簾有半遮及全遮2道 ，早上起床不會被照醒 。 飯店在捷運站旁 ，便利商店及屈臣氏就在旁邊 ，非常方便！ 唯一要挑剔是早餐 ，比較偏中式居多 ，西式配菜就比較少。 下次住台北還會再考慮！,10.0,2017年2月1日星期三,2017/2/1
6377b5def0d34eda0f186697,非常棒的住宿體驗”,,,"非常棒的住宿體驗，舊式飯店，重新整修後房間很新穎，床非常舒適。早餐中規中矩，晚上9:00過後夜宵牛肉麵驚豔(自費),飯店內多樣餐廳可選擇，交通便利旁邊就是捷運站。房價實惠，非常推薦住宿。台北來說，還是會選擇再ㄧ次入住的飯店!",10.0,2017年8月18日星期五,2017/8/18
6377b5def0d34eda0f186698,優質飯店，舒適滿意的旅遊”,,,一直以來對住宿選擇都次新飯店為首選，這次為了看音樂劇，在沒有太多時間考慮下選了老牌飯店 —兄弟飯店；沒想到兄弟飯店不僅交通方便距離小巨蛋步行五分鐘左右，而且飯店內有多樣的餐廳可以選擇，最重要的是房間全部翻新裝潢過，沒有老舊飯店的粉塵或異味問題，設計簡潔大方，床鋪非常好睡，房間乾淨備品齊全，服務人員態度親切，全家人都十分滿意，非常推薦這個台灣本土品牌的飯店！,9.6,2019年8月4日星期日,2019/8/4
6377b5def0d34eda0f186699,近捷運 飲食方便 生活機能良好”,,,南京復興站出站即到，去小巨蛋步行也是10分鐘可到的範圍內，不用看完演唱會還要跟人擠捷運，附近生活機能良好有缺少什麼生活用品要買也不是問題，餐廳吃的也多距離遼寧夜市也是走一下就到了，這次還有使用傳真功能1張10塊比小七便宜直接在櫃台就能完成，早餐豐盛會有專門的人負責帶位，停車的話要從慶城街進來導航飯店地址會找不到入口錯開用餐時間的話會比較容易有車位，退房時將停車單給櫃台蓋章即可免費停車,10.0,2020年12月27日星期日,2020/12/27
6377b5def0d34eda0f18669a,暖洋洋的台北之旅”,,,我和家人一月中到台北玩，因為他們很怕冷，我問了大概20間酒店，才找到兩間是有暖氣供應的！其中一間就是兄弟大飯店。兄弟大飯店位置方便，價錢也不太貴，我們日後又會考慮再去住,9.2,2019年1月23日星期三,2019/1/23
6377b5def0d34eda0f18669b,房價所包含的早餐絕對值得！”,,,"當入住櫃檯服務人員跟我要收1000元保證金的時候，我著實傻眼一陣子。 住過很多飯店，這種要求我還是頭一次聽到。 那如果我當時不拿出1000元，是不是連住房都不行呢？ 當天(2019.2.9)櫃檯人員的陳小姐非常強硬冷漠，一副就是""我們就是這樣，要不要住隨便你""的樣子，讓我心裡相當地不愉快，但考慮到有年長者隨行，也只能吞下肚。 撇除這個糟心的體驗，飯店總體表現算是有達到相對應的水準。 1.房間整齊乾淨，床鋪枕頭舒適好睡。 2.備品充分有品質，吹風機也是1線品牌，好用。 3.隔天的自助早餐非常多樣美味，就連水果也是1等1的好吃，不簡單。 4.接待的陳小姐服務態度很糟，但是其他如經理，餐廳接待，清潔人員都很客氣友善。 總結，這次是因為帶年長者聽費玉清告別演唱會才選擇此飯店(地利之便)，以後若還有機會選擇的話，是會列入考慮名單當中，但希望不要再遇到陳小姐服務我。",8.8,2019年2月11日星期一,2019/2/11
6377b5def0d34eda0f18669c,"老飯店,全新裝潢”",,,"老飯店,所以在的位址相當好,出門就是兩條不同捷運站的交接口. 新裝潢,住過不少飯店重新裝修過,可是兄弟飯店的真的是看過最好的,不論是走廊,浴室,燈光,以及房內整體的設計感都相當優秀. 一樓大廳因為有麵包坊,咖啡廳,甚至還有賣冰的所以座位空間相對少,而且有點吵鬧,跟一般旅館大廳不太一樣. 二樓的飲茶餐廳讓人失望,不知道是否是因為5點多去用餐,腸粉居然是半冷的,而且明顯放置過久皮居然是軟爛的. 燒賣口味還OK,可是也是溫的. 之後就結帳離開了.",9.2,2019年7月6日星期六,2019/7/6
6377b5def0d34eda0f18669d,很棒的地點，很棒的房間”,,,本來以為是老飯店，內裝可能就是馬馬虎虎而已，沒想到房間裡面的空間運用和設備都非常貼心，非常適合商務或是來台北旅遊的人。 樓下港式飲茶也很好吃。,9.6,2017年4月29日星期六,2017/4/29
