_id,title,good_text,bad_text,normal_text,star,time,convert_time
6377b707a99b9ade05b61bd0,性價比超高的!!!!!!!”,,,"這次選擇台北凱達大飯店算是偶然, 在尋找該訂的飯店時得知在2018年才開幕, 那當然要試試新飯店。這次入住期間碰巧遇著自己的生日, 生日當天收到來自飯店的祝賀訊息已經覺得份外開心, 還有小小的一個蛋糕作為禮物, 真的開心不能形容。 關於位置介紹, 可以另加一行在高鐵萬華站隔壁就非常完美, 因為從捷運龍山寺站到飯店, 第一次找真的有點疑惑, 從2號出口到地面後完全迷失方向(因為完全看不見像是飯店的建築物)。 已決定以後再到台北, 首選一定是台北凱達大飯店。",10.0,2019年2月19日星期二,2019/2/19
6377b707a99b9ade05b61bd1,萬華車站附近星級飯店”,,,以這樣的價格能夠住到氣派大廳的星級飯店，很是開心。位置就在萬華車站旁邊，入口要彎進為數不多的停車前庭才會看到，並沒有正對著大馬路，對面有飯店本身的停車塔，可是等待時間很久，建議住宿的早點退房、宴客的早點吃完，先來取車，不然我們前面不到十組，就等了至少半個小時⋯因為都集中在某一個塔，表示安排上有很大的問題。因為肺炎疫情的關係，原本可以在停車塔附近搭電梯到2樓天橋，然後直達飯店2樓，但目前都只能由一樓大門進出並量測體溫，所以這條路是不通的，飯店也有放告示牌。附近機能還不錯，對面有知名薑母鴨，是用碳燒的，以前住附近常來吃，晚上生意很好。也可以走到廣州街夜市，也有不少知名老店，龍山寺也在附近，不用搭大眾運輸工具或開車就有很多事情可以做了。房間我們住最便宜的，空間不大但設計的不錯，床算軟很好睡，浴室跟免治馬桶廁所是分開的，雖然玻璃門最上面有些空間會與房間想通，但應該沒太大影響。窗戶外面滿髒的，所以不想拍景觀照，房間清潔度ok，有小零食、小汽水，雖然房間小，但還擺得下小沙發、甚至嬰兒床，另外還提供嬰兒澡盆及消毒鍋，不過奶瓶刷是已拆封的，我沒有問是否全新。,10.0,2020年3月3日星期二,2020/3/3
6377b707a99b9ade05b61bd2,推薦”,,,台北凱達大飯店2017年開幕，房數眾多且多款房型可供選擇。隔壁就是萬華火車站，交通便利。鄰近有多處景點聚集一起，龍山寺、艋舺龍山文創園區、剝皮寮歷史街，十分便利！會推薦親朋好友這間住宿～,9.2,2019年11月24日星期日,2019/11/24
6377b707a99b9ade05b61bd3,搭台鐵超方便”,,,"今次訂的是四晚三人房，一張雙人和單人床，第一晚因電視收不到訊號，call職員上來修理, 他很好人， 主動檢查其他電制， 發覺我們按錯請勿打擾和要求清潔的電制，以致當天沒有補給物資，職員立刻補給我們。 請勿打擾的電制著了燈即不可入內，會沒有人來執房的，要留意! 執房的同事未能細心，第三天執房時祇給我們二人份量的物資，最後一晚竟然把我們三對的紙拖鞋拿走，又忘記給回新的，要打電話到大堂要求職員拿給我們。我們住的是八樓，隱約聴到火車聲，而且落地玻璃窗一半是被石牆遮擋著，如喜歡看街景的，便要要求住在九樓以上， 八樓同時是泳池和健身室的所在。 浴室除了涼衣繩可掛衫外，並沒有其他掛鈎，建議自備吸盤式掛鈎。 雪櫃每日有免費樽裝水和罐裝汽水， 另有茶包和咖啡供應。 酒店有免費車從台北機捷站來往酒店, 但要預約。等車的地方就在機捷站往桃園機場方向入閘左手邊玻璃門外。萬華台鐵站就在酒店隔離，內有7-11便利店，如夜歸建議搭台鐵不要搭捷運，因龍山寺捷運站2號出口，右手邊就是美食廣場， 直走會看到台灣銀行，過咗馬路穿過萬華台鐵站，右邊就是酒店，龍山寺捷運站離酒店大約三四分鐘路程， 晚上有些露宿者在附近，而且街燈昏暗。搭台鐵只要在六號月台上車，到萬華站時就會停在職員室附近，向前走還有升降機可到逹大堂，行大約十幾步便回到酒店，很方便! 所以下次都會選擇入住凱逹!",8.0,2018年1月21日星期日,2018/1/21
6377b707a99b9ade05b61bd4,飯店人員態度友善，入住環境舒適，交通位置絕佳！”,,,連續入住6晚，住宿感受都很好，飯店與萬華車站共構，交通很方便，離龍山寺捷運站也只有步行約3分鐘的時間，周邊美食很多，入住部分，CHECK IN/ CHECK OUT程序都很迅速，大廳寬敞乾淨，坐在沙發也很舒適，飯店人員態度都很友善，出入門都有人員協助開門，離開房間遇見清潔人員，他們也會親切的打招呼，房間清潔也都一絲不苟，很棒。最貼心的是，入住前有備註為剛新婚，是一趟小蜜月旅行，飯店提供有水果及小蛋糕，蠻可愛的心意，相當推薦！期待夏日入住享受泳池等設施:),10.0,2019年1月17日星期四,2019/1/17
6377b707a99b9ade05b61bd5,從細節就能看出是間好飯店”,,,CP值爆高，用便宜的價格住到高級的飯店(常住飯店的人就知道為甚麼我會這麼說) 服務很好，員工態度讓你感覺賓至如歸 位置方便，飯店就在萬華火車站上面 還有專用停車場 景觀超讚，大力推薦給喜歡住高樓層的人 客房都是20樓起跳 白天晚上都很美 設施多樣，每個房間都配有一顆中高階藍芽音響 讓住宿品質更加提升 2樓還有酒吧跟餐廳 唯一的一個小小小缺點是房間格局稍微小了點 但基本配備還是有一張小沙發跟桌子 總評：特優 (個人私心太喜歡這家),10.0,2020年11月10日星期二,2020/11/10
6377b707a99b9ade05b61bd6,台北旅遊住宿的好地點( 開車者例外)”,,,飯店整體設施很棒!!房間整潔且相關的設備都非常精緻齊全，是度假的一個最佳選擇。 然而，這個飯店的機械式停車塔非常糟糕，雖然已經在GOOGLE 地圖評論上參考其他人意見，但我沒想到實際狀況是如此糟糕離譜。我約是1點左右到達飯店停車場，到達時已經有7台車等待進場，但等了15分鐘都沒有前進，之後查看才發現也另外有約10幾20人也在等待拿車，我當下決定不停此停車塔，另外找付費停車場。隔天退房時11點多，從飯店房間窗戶已經可以看到等待入場車輛回堵到主要道路上，實在是不敢想像若是停車在此處，12點退房時幾點才能拿到車離開。看到GOOGLE 地圖的評論有人是12點退房，將近3個小時才拿到車。我先前看到此評論時也半信半疑，到現場看到等待取車的人龍後才發現一點都不誇大。 另外，櫃台工作人員數量明顯無法應付大量住宿旅客，3點時辦理入房等待人數居然可以綿延10公尺以上，估計最後一個至少要等一小時。若是辦理提早入房的，也必須等到3點才能領房卡，這我們可以理解。但不懂為何只是領房卡也需要排隊，我大約等了20分鐘，真的等了一肚子氣。 坦白說，此飯店從到達開始的停車、登記到領房卡就是無止盡的等待，直到進房後才能夠好好休息。若是要住宿，強烈建議不要開車或是停在其他收費停車場，要不然真的會因為停車問題嚴重耽誤行程。,9.2,2020年6月27日星期六,2020/6/27
6377b707a99b9ade05b61bd7,CP值高的星級飯店”,,,飯店星級整體差不多等級在4顆星左右，不過CP值很高，又屬凱撒集團的飯店，品質是一定有的。飯店緊鄰萬華車站，附近只有全家跟7-11超商，走路10分鐘可到夜市。房間整體很乾淨+明亮。以一晚一千初的價格來說很棒～會推薦給親友住！,10.0,2020年9月12日星期六,2020/9/12
6377b707a99b9ade05b61bd8,一切都很完美下一次回台灣會繼續入住”,,,非常感謝房務部經理張先生安排2/24多寄放行李，在台北住過多家飯店，終於找到一家飯店讓自己睡得安心、環境也很整潔、服務態度又極佳的飯店。 疫情期間飯店每一天都會進行出入房客的體溫檢測， 也常常看到飯店人員進行消毒，非常令人安心。希望下一次五月入住的時候飯店一樣能提供這麼棒的環境給我們。 小小的良心建議如果飯店能提供一些碗盤咖啡杯等，會讓飯店品質更高喔謝謝。,10.0,2020年2月25日星期二,2020/2/25
6377b707a99b9ade05b61bd9,有驚喜的感覺！”,,,第一次入住這家飯店，很近捷運站。因為帶著小孩，從捷運站走到飯店也不過是五分鐘，所以很方便。推薦帶小孩的媽媽們選豪華雙人房，房間空間大，足夠小孩在房間玩。而且落地玻璃可以看到台北夜景，完全一目了然！下次必定會再選！,9.6,2019年7月6日星期六,2019/7/6
