_id,title,good_text,bad_text,normal_text,star,time,convert_time
6377b6a852868435bfeb2c7e,很棒的五星級飯店”,,,服務好 地點好 房間舒適,9.7,2015年2月12日星期四,2015/2/12
6377b6a852868435bfeb2c7f,cp值很高的飯店”,,,台北市來說性價比很高的飯店，床很舒服、房間整潔（雖然在床底發現穿過的拖鞋沒清到），整體服務人員也都很不錯，咖啡廳價格也很平實。,9.6,2020年11月23日星期一,2020/11/23
6377b6a852868435bfeb2c80,推薦這家台北的飯店”,,,房間l超級大的！價錢又便宜！cp值超高！適合家庭喔！廁所明亮乾淨又新！離台北車站100計程車資，捷運站走路10分內很快！,10.0,2016年3月30日星期三,2016/3/30
6377b6a952868435bfeb2c81,這次是有點一些小烏龍，不過飯店都會立即處理事後處理態度都很可以”,,,因為參加agoda的套票方案有送下午茶及泡湯時間，我們在最後一天想說要泡湯於事前一天跟櫃台預先登記，但到當天我們到頂樓時，人員告知沒有收到說我們有登記，但有立即確認後立馬安排，也延長退房時間好讓我們有慢慢來，當天預約晚上後，有前往酒店的酒吧，有可能是因為人員快下班我們還前往，所以服務人員有些不耐煩的感覺，但最慢收客時間為晚上10:30，我們10點前往也不到11點就離開，我們的點餐還遺漏...說真的有點傻眼...但如果在喝下去怕會耽誤到人員時間就沒追究了....這部分可能飯店要改進一下，還有廁所...沒有很乾淨...畢竟是高級酒店內的餐廳廁所還是要保持乾淨為主啦,10.0,2020年10月14日星期三,2020/10/14
6377b6a952868435bfeb2c82,超值划算房間設計用心”,,,停車便利位置方便房間設計用心,9.3,2014年2月10日星期一,2014/2/10
6377b6a952868435bfeb2c83,"房間整潔, 距離小南門捷運站步行十分鐘”",,,房間整潔,6.7,2013年1月3日星期四,2013/1/3
6377b6a952868435bfeb2c84,"房間乾淨, 位置優越，距離小南門捷運站步行十分鐘即可到達”",,,"(這次因為book唔到西門町及台北車站區內酒店才選擇它) 酒店房間大而且很乾淨,床很舒適，不過pillow 太軟；浴室靚但可惜冷熱水很難調教, wifi ok。 機場坐的士到飯店約; 樓下有巴士去西門町;距離小南門捷運站步行十分鐘即可到達；房價較貴而且不包早餐。 酒店樓下有麵包店, 附近有生果店和24小時超市, 另外,附近的小店都不錯.",6.7,2013年1月3日星期四,2013/1/3
6377b6a952868435bfeb2c85,地點好 房間舒適”,,,花園飯店旁邊就有和平醫院的公車站牌，離捷運也只有一小段、龍山寺、西門町坐車，走路的話也不遠、樓下的麵包店好吃😋推薦給大家。 床好睡也蠻大的、衛浴設備有浴缸，價錢合理、下次有機會再入住,10.0,2019年9月11日星期三,2019/9/11
6377b6a952868435bfeb2c86,物超所值”,,,"細節周到, 自動升等, 服務親切.",9.3,2014年11月3日星期一,2014/11/3
6377b6a952868435bfeb2c87,服務非常好的旅館”,,,家中長輩腳受傷就近找旅館住宿，交通非常方便，有停車場好停車，房間寬敞舒適，床也好睡，服務人員都是客氣有禮笑容滿面，美中不足的地方是一樓剛開的泰國餐廳，油煙味飄到飯店大廳，讓人很不舒服，是需要改善的地方。,9.2,2020年7月20日星期一,2020/7/20
