_id,title,good_text,bad_text,normal_text,star,time,convert_time
6377b7f088cbfc4709d5be54,超棒”,,,國聯大飯店位於國父紀念館捷運站一號出口旁，交通便利，過個馬路，就是偌大的國父紀念館。101大樓也在不遠處，晚上的市區夜景也很美麗。附近也有24小時的便利商店，也有不少餐廳供選擇。可搭公車或是taxi到十分鐘車程左右的饒河夜市。房間不僅舒適，隔音相當良好，床舖睡起來很舒服，還有法國進口的浴缸，泡澡很舒服。整體住宿非常愉快，整夜好眠，而且價位非常的親民，五星級的飯店讓人很有物超所值的感覺，下次有機會一定會再次帶家人入住。,10.0,2017年8月14日星期一,2017/8/14
6377b7f088cbfc4709d5be55,此次是十年後再度入住卻發現服務人員都很資淺，但重裝修過的房間內裝卻依然老舊。。。”,,,地點好交通方便，房間大床舒適，免費上網,7.7,2014年2月4日星期二,2014/2/4
6377b7f188cbfc4709d5be56,飯店位置好的沒話說”,,,飯店位置好的沒話說,8.7,2012年8月21日星期二,2012/8/21
6377b7f188cbfc4709d5be57,"房間寬敞, 位置極佳, 員工友善”",,,"酒店位置極佳,門口有公車站, 捷運站在3分鐘路程, 與台北車站只是兩個車站之隔, 附近很多咖啡店和便利店及小攤檔. 到信義區 很方便. 附近10分鐘路程有誠品 和假日市集,今次客滿而被免費提升房間是意外收穫. 員工也很有水準. 很友善. 總括是一次性價比高的選擇. 下次也會考慮入住.",8.8,2017年5月5日星期五,2017/5/5
6377b7f188cbfc4709d5be58,物超所值”,,,住宿台北首選，飯店在市中心，房間乾淨舒適，飯店人員服務好，尤其停車場管理大哥，每一個都讓我感受到飯店滿滿熱情的服務。,10.0,2017年6月26日星期一,2017/6/26
6377b7f188cbfc4709d5be59,"Perfect Location, Comfortable Room, but the Description of Room Online was Untrustworthy. ”",,,"飯店的地理位置極佳，員工也有專業的服務。 然而，我在入住當天訂了特價的豪華雙人房，agoda上的房間介紹有註明浴缸，最後卻被分配到沒有浴缸的房間，雖然浴缸對整體房間設施影響微乎其微，但還是希望網路上對於房間的描述要符合實際情況。 The hotel is located in Taipei CBD. You can easily reach the public transportation and all kinds of restaurants in few minutes. The room was neat and the staffs were nice as well. However, I booked an on-special-sale Superior Double Room equipped with a bath tube via Agoda, ending up in a room WITHOUT bath tube instead. That shower room was also pretty tiny. A bath tube was not necessary but I sincerely thought the description of the room should meet the reality.",8.8,2019年2月27日星期三,2019/2/27
6377b7f188cbfc4709d5be5a,非常溫馨有溫度的住宿體驗”,,,"溫度是我提出的需求，原本不奢望會有任何安排，其實私人需求，本來就不是旅館飯店的客務部門應該要達成，但C/I時,客務人員微笑並溫馨告知盡力達成我的需求時，感受到溫度，也非常感激不盡。這是無法可以用分數取代的評價，超越10分的分數都無法亮取。萬分感謝客務與房務部門所有人員將一間如此有時間洗禮與故事的飯店日日夜夜每天讓我們旅人疲憊不堪的身心因為住進國聯飯店得到舒坦放鬆，精力充沛的離開。謝謝國聯飯店所有員工",10.0,2019年5月8日星期三,2019/5/8
6377b7f188cbfc4709d5be5b,交通方便，服務優異”,,,1.飯店位置真的是非常的方便，因每年需要多次往返北部探訪親友，之後皆會考慮住宿於此，只是飯店畢竟較有歲月，房間內部各種櫥櫃設施可以感覺到歲月痕跡，電視也很小畫面不太清晰。 2.第一間入住的房間可能房務清潔上有些許瑕疵，房間桌面床頭櫃灰塵堆積都很多，角落貴妃椅也有明顯污漬，反應過後立刻協助換房，換房過程整個服務中心人員以及協助換房的服務員態度都非常親切有禮，雖然碰到房間小瑕疵，但仍然瑕不掩瑜，整體感受極好，會讓人考慮再次入住。 3.飯店早餐豐富新鮮，也有現場烹調的蛋類跟法式土司及鬆餅，口味都不錯。,8.8,2017年10月19日星期四,2017/10/19
6377b7f188cbfc4709d5be5c,有101景觀，地點便利，捷運出口旁，價格經濟”,,,這次入住很幸運被升等到總統套房（四人房），飯店位置相當理想，離１０１只有７分鐘車程，要轉乘捷運也相當方便（國父紀念館站出口），房間也可以看到１０１的景色，相當理想！飯店雖有點年紀，但還乾淨，舒適！是來台北的最佳選擇之一！但早餐不是很好吃,8.8,2016年10月14日星期五,2016/10/14
6377b7f188cbfc4709d5be5d,好品質的一家飯店”,,,乾淨舒爽整潔到位，每個地方都非常的用心，價錢又便宜非常值得推薦的一家好飯店，2樓的自助餐品質好服務好，東西新鮮價格便宜，到台北的唯一選擇，真的喜歡這家飯店一定會再來。,10.0,2018年8月6日星期一,2018/8/6
