_id,title,good_text,bad_text,normal_text,star,time,convert_time
6377b7c6d85c8616ddebc888,性格比超高的商旅”,,,去台北6天，頭2天住了一家爛飯店，才臨時換了這家，這家飯店新開幕，裝潢什麼都好，鄰近北門站和台北車站，去寧夏夜市也很近（大概10分鐘路程），酒店旁邊有便利商店！酒店是走工業風裝潢的，加上新開幕難免有點難聞的裝潢的氣味，但是廁所有浴缸是很加分，服務人員全都很有禮貌，不錯，下次來台北一定會再入住！,10.0,2019年1月24日星期四,2019/1/24
6377b7c6d85c8616ddebc889,可以自助辦理C/I和C/O，離客運站和機場捷運很近，需要前往機場的話是不錯的選擇”,,,就在台北捷運北門站和桃園機場捷運站旁邊，離國光客運站也很近。可以使用平板進行自助check in，房間雖然不大但走簡約工業風，整體很舒適不會有壓迫感，床底特別墊高有很大的空間供住客擺放行李箱，如果有進出國門或達成台鐵、高鐵的需求，此住宿點前往桃園機場或台北車站皆十分方便。,8.8,2019年8月26日星期一,2019/8/26
6377b7c6d85c8616ddebc88a,很讚”,,,價格CP值高，離台北車站約5-10分鐘位置， check in & check out都是自助式，快捷方便。 但大樓是住商混合。最高層是3樓，隔音差，一直會聽到喇叭等聲音。,8.4,2019年6月19日星期三,2019/6/19
6377b7c6d85c8616ddebc88b,非常滿意CP值高”,,,房間不大 但有浴缸 而且以台北的飯店價位來看 CP值超高 離機場捷運很近很方便！,10.0,2019年8月4日星期日,2019/8/4
6377b7c6d85c8616ddebc88c,地理位置非常好”,,,"地理位置非常好，機場捷運6號出再過對面馬路直行幾分鐘就到(有電梯),或者係地下街Y21出口出再直行。 樓下附近有便利店，行多幾個街口就係寧夏夜市。非常方便! 如圖向街，窗係開唔到既，唯一決點係房間隔音麻麻地，會聽到留下車聲。 同埋無衣櫃。",9.2,2019年9月9日星期一,2019/9/9
6377b7c6d85c8616ddebc88d,環境乾淨整潔 地點方便”,,,飯店很新淨整潔，廁所很大，房間很舒服！下次會繼續入住。非常鄰近捷運站，走路不會太遠。附近很方便，還有按摩的養生館。,10.0,2019年11月28日星期四,2019/11/28
6377b7c6d85c8616ddebc88e,不錯的住宿體驗！”,,,客服人員熱情親切。房間設備齊全，電視也夠大台，整體居住起來十分舒適，唯獨房門隔音稍差，偶爾能聽到隔壁訪客的談話聲。離寧夏夜市很近，品嚐美食非常方便！,8.4,2020年10月12日星期一,2020/10/12
6377b7c6d85c8616ddebc88f,交通方便，CP值高”,,,車站附近連鎖旅店，基本設施齊全，自助式辦理，有機會會再入住,10.0,2020年2月11日星期二,2020/2/11
6377b7c7d85c8616ddebc890,位置方便，房間舒適。”,,,房間舒適，感覺新穎，服務人員很熱心，飯店還提供按摩預約跟代買伴手禮。,10.0,2020年1月13日星期一,2020/1/13
6377b7c7d85c8616ddebc891,CP值高、整潔又安靜。”,,,印象最深刻的是大廳櫃台親切的服務態度，非常值得投宿的商旅， 這次住了兩晚，感覺很舒適，強推！,10.0,2020年1月24日星期五,2020/1/24
6377b7c7d85c8616ddebc892,04:50有人按房門鈴，被嚇醒！感受挺不好的。”,,,希望飯店能加強控管出入的人員，其它方面都很好！,9.6,2020年6月13日星期六,2020/6/13
6377b7c7d85c8616ddebc893,房間乾淨整潔”,,,鄰近台北機場捷運Exit 6,7.2,2019年7月29日星期一,2019/7/29
6377b7c7d85c8616ddebc894,差強人意”,,,飯店房間小，稍嫌擁擠，但有浴缸很棒，房間內沒有沙發，只有一張沒椅背的椅子，坐久了很累，被迫要長時間一直在床上靠著才能讓背部休息。沒大廳沒沙發可讓旅客休息，是一大缺點。是不附早餐的小型旅店。附近有小七，但需走一小段路。將來應不會再入住。,6.4,2019年10月12日星期六,2019/10/12
6377b7c7d85c8616ddebc895,乾淨整潔”,,,房間性價比高，地理位置優越，鄰近捷運站，下次會再住！,8.8,2020年2月1日星期六,2020/2/1
6377b7c7d85c8616ddebc896,滿意”,,,飯店服務良好，環境乾淨，但浴室熱水忽冷忽熱，很難控制。隔音有待加強，半夜還有尖銳敲擊聲。,6.8,2019年1月28日星期一,2019/1/28
6377b7c7d85c8616ddebc897,去台北旅遊非常推薦”,,,房間大又便宜乾淨方便舒適可惜沒有停車場,10.0,2020年6月1日星期一,2020/6/1
6377b7c7d85c8616ddebc898,普通”,,,新飯店設計硬體方面都不錯，可惜房間內部潮濕，枕頭太軟。,6.8,2019年2月12日星期二,2019/2/12
6377b7c7d85c8616ddebc899,性價比很高”,,,"位置方便,酒店很新.",9.2,2019年3月28日星期四,2019/3/28
6377b7c7d85c8616ddebc89a,交通條件上算是便利的背包客旅店”,,,住宿還算舒適，背包客相當適合！但是，不太適合家庭出遊，因為停車條件是相對不便與昂貴的！,7.2,2019年2月6日星期三,2019/2/6
6377b7c7d85c8616ddebc89b,設計人性化，乾淨”,,,5分鐘步程到桃園機場捷運話。房間有很多掛鉤可以掛東西，做得很有設計風格，床也舒服，每層也有水機，提供冷熱飲用水，步行到迪化街，大稻埕廣場很方便，,8.8,2020年2月4日星期二,2020/2/4
6377b7c7d85c8616ddebc89c,地點方便近捷運等大眾運輸”,,,"地點方便近捷運等大眾運輸,整潔度高,住客平均水平也不差,顯少遇到會吸菸的住客,推薦給想來台北或者是同在台北的朋友們。",9.6,2022年11月12日星期六,2022/11/12
6377b7c7d85c8616ddebc89d,服務人員觀念太差”,,,邏輯很離譜,4.0,2022年11月11日星期五,2022/11/11
6377b7c7d85c8616ddebc89e,方間新又乾淨”,,,"可以讓送上樓會更好,疫情已經沒那麼嚴峻了........",7.6,2022年11月11日星期五,2022/11/11
6377b7c7d85c8616ddebc89f,衛浴設備待加強”,,,除了交通方便跟便宜之外，完全沒有任何優點。房間太小，淋浴門無膠條水狂外溢，導致乾濕分離無意義，甚至積水。隔音效果極差，可清楚聽見隔壁房的所有聲響，另外房務清潔人員講話太大聲，影響房客休息。,6.0,2022年11月9日星期三,2022/11/9
6377b7c7d85c8616ddebc8a0,房間空間小，行李箱不能全開”,,,地點好、浴室乾淨,8.0,2022年11月8日星期二,2022/11/8
6377b7c7d85c8616ddebc8a1,地點”,,,地點很方便，離北門捷運站很近,7.6,2022年11月6日星期日,2022/11/6
6377b7c7d85c8616ddebc8a2,超棒”,,,乾淨整潔，CP 值很高！,9.6,2022年10月26日星期三,2022/10/26
6377b7c7d85c8616ddebc8a3,普通”,,,可惜沒停車的地方,6.0,2022年10月20日星期四,2022/10/20
6377b7c7d85c8616ddebc8a4,超棒”,,,居住方便快速,10.0,2022年10月18日星期二,2022/10/18
6377b7c7d85c8616ddebc8a5,超棒”,,,乾淨舒適,10.0,2022年10月18日星期二,2022/10/18
