_id,title,good_text,bad_text,normal_text,star,time,convert_time
6377b508d721519d6add74e3,酒店為全新裝修，房間非常舒適，科技化設備非常新穎，飯店人員態度良好服務專業!!可惜價格頗高!”,,,房間舒適，内裝新穎，服務良好!!,9.3,2013年10月22日星期二,2013/10/22
6377b509d721519d6add74e4,從入住那刻起 都在享受賓至如歸的感覺”,,,整體真的很棒！員工的接待服務態度超級好！ 走到中山捷運站只需要3分鐘，地理位置非常好！ 自行撥打電話給飯店訂房組申請預約ㄧ張嬰兒床跟澡盆，客服小姐立馬幫我完成預約。入住時 因為姪子需要泡奶，所以跟房務管家索取礦泉水也是在5分鐘之內送達房間。整體來說 飯店很棒，我們都很喜歡，已經預訂好下次再入住了。,9.2,2016年11月27日星期日,2016/11/27
6377b509d721519d6add74e5,服務一流的飯店”,,,衛浴乾濕分離，採用免治馬桶,10.0,2013年3月7日星期四,2013/3/7
6377b509d721519d6add74e6,超棒”,,,這已經是第三次 入住了，這次帶兩位小孩入住，房間床地板 ，覺得很乾淨，早餐選擇多樣化，還有嬰兒澡盆、嬰兒床，浴室還有電視可以邊泡澡邊看電視放鬆，離中山捷運站一段距離8-10分，會在帶小孩入住，很棒的五星級飯店，服務人員也很有禮貌，隔音設備也很棒，不愧是五星級飯店,10.0,2018年12月31日星期一,2018/12/31
6377b509d721519d6add74e7,尚可，應算4星飯店”,,,早餐好吃，服務人員有禮優秀，什麼都要誇張的費用,9.0,2015年1月7日星期三,2015/1/7
6377b509d721519d6add74e8,服務一流的迷人飯店”,,,餐廳好吃 房間舒適,10.0,2012年12月27日星期四,2012/12/27
6377b509d721519d6add74e9,位置優越 客房空間寬敞 ”,,,服務態度良好 房間舒適寬敞,7.7,2012年12月29日星期六,2012/12/29
6377b509d721519d6add74ea,服務一流”,,,飯店裝潢，門僮行李生的殷勤服務，飯店設備。,10.0,2015年8月24日星期一,2015/8/24
6377b509d721519d6add74eb,很讚”,,,飯店有提供嬰兒澡盆 兒童拖鞋 刷具組地板很乾淨，早餐巴費 吃的簡單可以接受，服務人員都很有禮貌，離中山捷運出口有一段路5-10分還可以接受，房間垃圾桶可以在大一點會更好，還有迎賓點心鳳梨酥，還會像在入住一次，只是價格不便宜五星級酒店,8.4,2018年5月19日星期六,2018/5/19
6377b509d721519d6add74ec,各方面都很優秀的酒店”,,,"員工服務態度很好, 充滿笑容, 及很樂於幫助住客. 地方很方便, 附近都有大型商場, 再行遠一點也有夜市. 房間很清潔, 浴室設計很好, 令人很舒適. 這裡自助晚餐也很出名. 肯定下次到台北會再入住.",10.0,2017年11月27日星期一,2017/11/27
