_id,title,good_text,bad_text,normal_text,star,time,convert_time
6377b874c064a09b9f825130,超棒”,,,新穎且交通便利的商店，離捷運西門站5號出口一分鐘路程，累了一天可以快點回到飯店知道令人開心。 房間雖小但五臟俱全，竟然連浴缸都塞進去了！！ 但隔音有點不好，若有人在走廊說話會聽到。 這次剛好住了海霸王旗下在西門町的兩家飯店，相較之下德立莊分數高多了，下次有機會會再選擇這家的。,10.0,2020年12月27日星期日,2020/12/27
6377b874c064a09b9f825131,"物超所值: 價錢合理, 位置方便, 整潔衛生”",,,"西門町站5號出口1分鐘就到, 鄰近西門野商圈, 購物同宵夜都非常方便。酒店還提供代訂手信服務, 直接去前台取貨, 買佳德,微熱山岳,糖村都非常方便。酒店提供自助早餐。不過房間空間較細 勉強可以打開兩個大喼, 隔音亦一般, 走廊的對話, 房間聽得一清二楚。不過整體都好好, 下次會再入住。",10.0,2017年11月8日星期三,2017/11/8
6377b874c064a09b9f825132,很好”,,,"飯店地理位置理想，很近西門町四號出口，附近食肆也很多。透過Agoda 訂了一間Superior family room,人數是兩成人及兩兒童（已根據小童年齡大小輸入），但到了飯店check in時候，前台職員卻告知這房價只是算兩成人包早餐，兩兒童住宿要另外收費，每人要多付TWD600,再加早餐費每人TWD440。當時我感到有點莫名其妙，向前枱職員出示訂房確認書，最後他們雖然沒有收取小童額外住宿費，但2位小童的早餐費就收取了TWD880!總括而言，飯店前枱的服務員態度良好，交通便利，下次來台或會考慮再次入住。",8.0,2018年6月24日星期日,2018/6/24
6377b874c064a09b9f825133,房間舒適，位置優越。”,,,這次和丈夫來台北四天三夜。選這间位于西門町的新酒店，我們選豪華房間，房間很寬敝，整潔，浴室洗手間很雅緻，熱水很猛很舒適。房間有城市景，算很開揚。而且位置非法方便，捷運西門站4號出口行兩分鐘，一滴雨都不會滴到就行到返酒店。 唯一不太好是房間隔音比較差，試過早上被外面的聲音吵醒。 下次來台北還會選這裡的，價錢合理，地點方便，雅緻的酒店。,7.6,2016年3月24日星期四,2016/3/24
6377b874c064a09b9f825134,很好”,,,酒店的位置十分好，鄰近西門町，附近亦有很多商店，與西門站5號出口只有2分鐘距離，出行十分方便。今次預訂的是市景雙人豪華房，面積很大，地氈有點污漬，沒有其他不便，只是聖經佛經都放了出來，有點感覺不好，一般都是放抽櫃內的。另外，所住樓層另一半是環保局辦公室，到這些樓層不需匙咭便能乘Lift到達，保安上有點奇怪，還有等Lift大堂有陣陣渠味，不知道和酒店工程中有沒有關係。關於酒店早餐，款式似是很多，但大多不太適合我，基本的水和中式茶是沒有的，麵包種類亦不多，總括而言就是不合胃口，人亦太多，八時開始至九時半都是繁忙時段，排食物找座位都有點困難。前枱服務如早前評論，不能說不禮貌，只是服務人員少了一點親切感，當然，一般服務如查詢及提取包裹等都沒有困難的。,8.0,2019年11月3日星期日,2019/11/3
6377b874c064a09b9f825135,交通便利 飯店設備新穎 服務人員親切友善”,,,位於西門町商圈 距離捷運站步行只要3分鐘 十分便利 飯店設施新 服務人員也友善親切 非常推薦入住 有機會也會再度光臨!,9.2,2016年6月20日星期一,2016/6/20
6377b874c064a09b9f825136,好棒👍下次來還要住這裡”,,,到地意外的有免費升級😜服務員都很有耐心解答問題唷！房間非常整潔，還有伴手禮的清單好方便 酒店還會幫忙打包好噢！而且最棒的是一走出去就是西門町捷運5號出口好方便👍🏻 旁邊就是錢櫃KTV 愛唱歌的我覺得實在太好了😆😆,10.0,2016年10月18日星期二,2016/10/18
6377b874c064a09b9f825137,交通方便，價錢合理。”,,,交通方便，西門站4號出口附近就到且有電梯，對於有寶寶推車或行李箱的旅客實在方便；房間設計簡約且維持的乾淨；缺點是因為連假出遊，住房人數太多，早餐供應時間取餐大排長龍，不是愉快經驗；在住房之前因為有小孩也說明需要床圍，但check in時並未提供因為數量少提早供應完畢，可整體來說，若是一般假日或平日入住時，它是非常推薦的飯店。,9.2,2020年7月2日星期四,2020/7/2
6377b874c064a09b9f825138,很滿意!”,,,"就在西門町附近, 一出酒店門口就有捷運站, 喜歡K歌旁邊也有的^^ 而且酒店也有手信點單, 可以幫忙代買還可以打包好送到酒店! 己經住兩次了,下次還住哦!",10.0,2017年12月20日星期三,2017/12/20
6377b874c064a09b9f825139,CP 值高 家庭四人房”,,,鄰近西門町 方便行街購物及買夜宵回酒店吃 浴室的浴缸不是太好， 沒有浴簾，只有半邊透明鏡，所以如不是浸浴， 水花會漏到地上。 整體上都很好 ， 會再次入住,10.0,2018年8月21日星期二,2018/8/21
