_id,title,good_text,bad_text,normal_text,star,time,convert_time
6377b7a04f9c308a409048cc,去臺北旅遊必住之酒店”,,,"同太太第一次入住，一共住了三晚，原先只抱著一般心情入住，但由進入酒店開始就令我倆夫婦有驚喜感覺。 站於門外酒店職員遠處見到我們即上前替我拉行理，並帶引我們到服務台check in, 男職員亞Max超貼心嘅安排及服務都要值得一讚，除了Max之外，我留意到服務台其他職員都笑容滿面，令客人有超五星級酒店嘅感覺。 酒店設施好新，房間設備齊全，每天員工清潔房間都一絲不苟，亦要一讚。 酒店交通方便，板橋站出了地面，對面馬路已是酒店，非常便利。臺北車站有機捷板南線BL前往板橋站，亦可選擇台鐵搭一個站到板橋站，而且板橋站地面有多條巴士線，四通八達，非常方便，聽聞桃園機場亦有機場巴士直到板橋站，下次要一試，酒店附近有很多食市，如牛角等等！ 總括而言，板橋凱撒大飯店交通方便，遇到嘅員工有善，房間非常齊潔，真五星酒店，值得推介，下次到臺北我一定會再次入住！",9.6,2019年4月3日星期三,2019/4/3
6377b7a04f9c308a409048cd,所有東西都很棒!性價比極高的新飯店”,,,"一行三人住了3天, 我們訂了三床房,房間很大, 服務很好, 出入酒店職員也會親切問侯 或者 點頭微笑, 感覺貼心 飯店很新, 大地色系很感覺舒服, 天台無邊際泳池超美, 拍照一流! 房間很大, 所有沐浴品 及 個人護理用品也不吝嗇全部都給得很足~ 淋浴品是用法國品牌的, 很不錯!電動馬桶也很好用, 清潔做得很足很乾淨, 地點是在板橋站2號出口一出過一條馬路就能到達飯店, 地點是超棒的!! 我們沒包早餐, 所以不知道味道如何! 這個價格軟件硬件上無可挑剔~有機會一定會再住! 我要遠離北車 及 西門町這些熱門酒店區了, 那些都太殘太舊太少..而且性價比不高! 謝謝給我們一個開心假期~",10.0,2018年7月28日星期六,2018/7/28
6377b7a04f9c308a409048ce,超棒”,,,首次入住該飯店，也是看了各酒店訂房網內的住客評價而作決定的。和女兒入住五天，首先各範圍的服務員在態度，禮貌，工作效率，服務質素和儀容都水平極高，這令我印象非常好。飯店很新，但裝煌不浮跨，感覺舒服。最最推介它的是它的位置，斜對面便是板橋捷運和火車站，站內食店選擇多，最重要是飯店外的環境很寛廣乾淨，沒有台北或西門站等繁鬧。再一次讚賞員工的服務態度，真誠！,10.0,2018年7月25日星期三,2018/7/25
6377b7a04f9c308a409048cf,相當的方便便捷 於板橋車站2F就有連通到可以通到該飯店，相當的方便也便捷”,,,該飯店的價格相當優惠，房加大且舒適，我覺得不一定要到台北市，可以到新北這區來入住，加上旁邊還有購物中心、夜市、電影院、捷運、台鐵、客運轉運站，都在該旁邊走路步道5分鐘都可以到達的地方，就算下雨也不用擔心，這是一個相當不錯的飯店，飯店人員也都相當和藹可親，真心推薦喔!!,10.0,2018年7月12日星期四,2018/7/12
6377b7a04f9c308a409048d0,服務品質需要再調整”,,,上周末入住飯店，因為適逢耶誕城期間，在預訂飯店之前也有先看過評論，知道飯店停車場是先到先停，且三家飯店共用停車場，還有checkin時間會人滿為患，所以提早在早上10點多左右就先到飯店，等著停車場有空位就先停下去，不過還是等了一下子。當時櫃台還沒有辦理check out的人潮，所以櫃台服務人員可以先幫我們辦理check in(不領房卡、不進房)，並讓我們先寄放行李，這一點我覺得挺不錯的。 後來在晚上7點左右回飯店，拿房卡跟行李的效率都還不錯，電梯也不用等很久就可以上樓進房休息，預定4人房，房間的空間很大，view也不錯，床與枕頭軟硬度都很不錯。但有注意到床腳的地毯上有一咖啡色汙漬，稍稍扣分，稍做休息後，要準備幫小孩洗澡，發現飯店漏了我在訂單上備註需要的嬰兒澡盆，打去詢問櫃台，櫃台回覆要查一下有沒有預定成功，當下心裡有疑惑一下，因當時在訂房網留訊息時，有收到飯店回覆會準備嬰兒澡盆的訊息，怎麼這時又需要確認有沒有預定成功呢? 等了約10分鐘左右有人員將澡盆送到房間，幫小孩洗澡時，發現排水孔有沒清理乾淨的頭髮....因為之前有看過評論說浴缸的水不要放太滿以免淹到外面房間的地毯，所以有特別叮嚀家人這一點，避免淹水.... 在房間的時候有使用foodpanda預定2杯飲料，因為怕外送人員送到時，因為先生在洗澡、然後我還要顧兩個嬰幼兒，無法即時下樓去取餐，有留言請外送人員先放櫃台，並告知櫃台人員是哪個房號預定的，外送人員放置櫃檯後有打電話跟我們確認餐點已在櫃台，我們約隔15分鐘下樓去取，結果居然發現餐點不見了，櫃檯人員表示，因為當時也有很多人訂外送服務，有可能被拿走了.... 但因為他們也沒登記哪些房客來取餐，所以無從問起，先生在樓下也等了半小時，想說會不會有拿錯的人拿下來歸還，結果也沒有，後來櫃檯人員送了4張酒吧的招待券當做補償，會寫出這段並無責怪飯店的意思，只是想要給飯店一個建議，就是現在叫外送的房客越來越多，或許以後也會再次發生相同的事情，飯店是不是要想個防範的方法? 怎麼會沒有核對房客身分就讓人將東西任意取走呢? 隔天早上9點多check out，電梯沒有等很久，大概是大部分的房客都還沒退房，所以check out流程蠻順利的，後來帶小孩到台北市立兒童樂園遊玩，遊玩到下午2點多發現小孩的一個包包似乎遺落在飯店，打電話詢問飯店是否有撿到小孩的包包，飯店人員回覆，我們要確認一下.....就掛了電話。因我們離開飯店後就是到樂園，下車前也沒拿下去，所以幾乎可以確認就是忘在飯店，所以我們在打電話詢問飯店後，我們就決定開回飯店，在路程30分鐘內飯店完全沒有打電話回覆處理的狀況，到飯店後，先生下車進去詢問服務台，只聽到服務台人員很緊張的打給房務組詢問有沒有處理，還聽到: 客人已經在這邊了~~然後另一個服務人員又說: 這時候千萬不能急! 可是我們是半小時之前就有打電話請您們幫忙確認有沒有撿到包包，然後到飯店發現好像沒有人在處理這件事，又等了半小時才拿到包包，因為我們不是住附近，我們是住中部，我們也不知道飯店說要幫我們確認是要確認到何時才會答覆我們，且說真的我們是早上9點多就退房，房務人員應該是在我們退房後就可以進房整理，那時應該就會看到遺落的包包，應該在很快的就可以試著聯繫我們，但卻沒有...且我們發現包包忘記帶的時候也是2點多了，也是下一批的客人要check in的時間，那時房間應該大部份都整理好了，我們住的那間應該不至於還沒有整理吧?? 知道大飯店都有固定回報的sop，但是否因為太著重在遵守這sop而忘了效率了呢? 飯店硬體設施都不錯，但服務的品質，好像沒有讓人賓至如歸的感覺,7.6,2020年11月30日星期一,2020/11/30
6377b7a04f9c308a409048d1,值得推薦回住的飯店”,,,1、服務人員十分專業，親切友善。 2、地下室內平面停車場，車位多，環境明亮，車格大，出場需先至1樓櫃台拿磁扣消磁，雖較不便但安全管理佳 3、房間寬敞舒適，床和枕都很好睡，住三天都打掃的很乾淨。 4、冰箱冰滿了需要收費的飲料，有點佔空間。 5、淋浴間的熱水水龍頭超級燙，建議要加警示圖案或標語。 6、Check in時就刷卡凍結了$6000的保証金，雖然不是實際刷卡支出，人員也有說明是為了之後扣抵館內消費，但觀感不是很好，讓人有一種怕你消費落跑的感覺，不曉得是不是國外旅客多風俗民情不同，但住過許多飯店這是我第一次遇到，還好入住三天覺得一切都很好，才覺得比較釋懷。 整體來說是很不錯的飯店，質感很好，如果預算上夠的話十分值得推薦，我們帶小孩住了三天，全家都覺得舒適開心，下次有機會回板橋凱撒也會是我們的首選，謝謝全體飯店人員的用心服務,9.6,2019年1月8日星期二,2019/1/8
6377b7a04f9c308a409048d2,100％的滿意”,,,特地外宿找個飯店過生日，地點也是三鐵共構的板橋車站附近走路非常近，櫃檯在填寫資料發現生日，非常開心的祝賀還幫我們升等房間真的超開心的。 頂樓的露天泳池不用戴泳帽，可以像在國外一樣漂亮的拍泳裝照。泳池邊的座椅吊椅也都非常有渡假感。 這次住宿雖然只在新北市，但是真的是給滿分10顆星的滿意呀！,10.0,2020年9月13日星期日,2020/9/13
6377b7a04f9c308a409048d3,地點便利，員工服務佳，房況佳”,,,地點剛好在板橋站跟板橋公車站旁，交通還算蠻方便的（高鐵，台鐵，捷運，公車）全都有 進飯店CHECK IN 時，大廳服務人員有禮，很迅速協助解決我的問題！ 但是MINI BAR的東西不能撤走，蠻不方便的，要冰自己的東西，都還要把東西拿出來，要退房時在放回去，難免會擔心有沒有少放！ 房間很整潔，此次入住沒有看到什麼污漬或未清潔的地方！,10.0,2018年8月25日星期六,2018/8/25
6377b7a04f9c308a409048d4,試營運中！健身房及泳池無法參觀使用”,,,這次來板橋參與2017新北耶誕城，很幸運的找到這間還在試營運的飯店，整體來說很棒，因為東西都很新，但很可惜的是泳池及健身房等等沒辦法使用，但沒辦法使用也沒關係，反正來的目的不是為了那些設施，只是覺得很可惜也沒辦法參觀，還有房間內的所有食物都是要錢的，所以貪吃的朋友們，不要亂吃去旁邊的全家買便宜很多.....只有放在外面不冰的水是免費.....真心覺得如果不是免費的就不要放出來，有需要的人可以打電話給客房服務送就好，放在那邊誘惑人吃看了不舒服，哈哈哈哈哈哈哈。,9.2,2017年12月6日星期三,2017/12/6
6377b7a04f9c308a409048d5,地點超優，交通方便，飯店服務好，房間舒適”,,,剛好在12月入住，附近有新北耶誕城，卡娜赫拉聖誕節等等走路就能到，飯店離板橋車站很近，要轉乘也相當方便。頂樓游泳池view很美，有機會夏天會再來一次可以下水玩。有一晚在朋派用餐，覺得普通。飯店各項服務相當好，住的很舒適。冬天裡面有暖氣很溫暖。,9.6,2019年12月15日星期日,2019/12/15
