_id,title,good_text,bad_text,normal_text,star,time,convert_time
6377b841dafe05a1c14a1715,北台灣夏日最好的享受”,,,本次是今年第三次入住 (二次海景客房，一次villa)。性價比高。 1. 飯店二棟海景房正對整面大海，工作壓力大的上班族可以好好舒壓。但面山or游池房，景色應有別番風味，下回的選擇。 2. 離沙灘很近，玩累了回房很方便。不是緊臨沙灘可隔絕吵鬧。 3. 接駁車快又準時服務佳。 4. 兒童遊戲區不知為何地面沙沙的，感覺赤腳有些擔心。 5. 三溫暖建議視人潮不定期打掃，地板頭法不少。但溫泉池很大，很享受。 6. 員工都很親切。 7. 福粵樓口味佳，最愛港點。但田園自助餐就很普通。 總結這是間家長帶小孩來放電的好渡假村，不論villa OR 飯店區都有不同的感受，很令人滿意，每次來都很放松。價格相對高級五星級渡假村而言，非常合理。 已開始準備下半年的入住行程了。,10.0,2019年8月26日星期一,2019/8/26
6377b842dafe05a1c14a1716,Happy ”,,,飯店服務人員超讚，主動升等到有溫泉♨️池的風呂湯堅屋。房間雖然小了點，但有私人庭院，很棒。唯一的缺點是沒有淋浴間，淋浴時得站在泡澡池裡，感覺很髒。如果有淋浴間就太完美了。 地理位置很棒，有通往海邊的橋，沙灘有沙雕，海灘也算乾淨，比萬里的乾淨多了。飯店還有兒童遊樂區，很推薦帶孩子來玩水玩沙的渡假,9.2,2018年4月22日星期日,2018/4/22
6377b842dafe05a1c14a1717,位置優越設備其風景宜人”,,,緊鄰海岸,8.7,2013年1月7日星期一,2013/1/7
6377b842dafe05a1c14a1718,全家歡樂滿意”,,,沙灘真的不錯，飯店設施不算多，但該有的都有，大人小孩都滿意，晚餐的福粵樓份量多又好吃，早餐也不錯，而且用餐空間寬敞舒適，唯一需要改善的是果汁杯應該可以更乾淨一點。； 人員服務要給滿分，飯店整體感覺比之前去墾丁住的凱X飯店好多了，有機會會再選擇入住。,9.2,2018年5月1日星期二,2018/5/1
6377b842dafe05a1c14a1719,很棒的度假飯店”,,,整體住房體驗很好， 飯店位置就在福隆海水浴場旁，飯店和房間設計很美， 房間內有免費的電影可以選擇觀看， 小朋友在戶外游泳和兒童娛樂室玩的很開心， 大人陪在兒童娛樂室裡也有書本可以閱讀打發時間， 員工很友善，臉上都帶著笑臉， 早餐buffet也很好吃， 唯一不習慣的是房間內燈光有點暗。 但還會想再次入住。,9.6,2018年7月23日星期一,2018/7/23
6377b842dafe05a1c14a171a,"海邊度假型飯店, 但離海邊有點遠”",,,靠近福隆海水浴場,8.0,2013年2月23日星期六,2013/2/23
6377b842dafe05a1c14a171b,帶小孩去福隆海邊玩很方便”,,,住過飯店區跟別墅區，有帶孩子的還是建議飯店區會比較方便，要使用飯店設施或泳池也不用走一段路或搭飯店的接駁車，去海邊玩走回來洗澡換衣服也很方便！,8.0,2019年11月3日星期日,2019/11/3
6377b842dafe05a1c14a171c,超棒”,,,整體的住房體驗非常的好，到了飯店後真的很有渡假的感覺，房間非常挑高，很舒適，設施也很不錯。唯一美中不足的是晚餐的部分，最喜歡吃黑輪的我竟然吃到感覺沒熟的黑輪、高麗菜沒味道、還有很稀的柳橙汁等等，希望可以更注重每道呈現出來餐點的細節。,9.2,2018年7月18日星期三,2018/7/18
6377b842dafe05a1c14a171d,夏夜有陽台的海景房，就是享受。”,,,來好幾次了，飯店位置與其他硬體維持不錯。 兩個退步的地方 1. 備品所附咖啡，過去一直是濾掛包，現在以較次的三合一，令人有些失望。 2. 沙雕季房價有加價，但是沙雕量逐年減少，沒啥看頭啦～,9.6,2020年8月10日星期一,2020/8/10
6377b842dafe05a1c14a171e,很好”,,,來這裡是特別旅途經過福隆，不然這個飯店週邊其實滿偏僻。晚上下雨也不能出去看海景，冬天跨年時只能待在飯店內。保有五星級服務、設施、餐飲品質的水準。但當初住日式飯店房內廁所的門有點壞掉，建議入住前應該先檢察，房內也有發現頭髮，清潔可以再嚴謹一些，整體感覺還是不錯的環境。房行規劃空間也不錯。價格有點太高，CP值普通。,8.0,2019年12月1日星期日,2019/12/1
