_id,title,good_text,bad_text,normal_text,star,time,convert_time
6377b85a18a3c8fc66598ef9,"地點一流, 房間大, CP值高”",,,"台北車站走路過去只需要8分鐘左右, 來往機場捷運實在太方便 , 建議從K12出口出來, 有扶手梯而且最近機場捷運, 如果沒拿大型行李就從Z10出口 (樓梯) 走過去最近。員工很親切，有一位男員工知道我是香港人還主動講廣東話打招呼，飯店也可以幫忙代收網購包裹。房間很大，打開數件大型行李也ＯＫ。淋浴的熱水和水力都很夠，只是馬桶沖水後會有聲音等水重新注滿後才會停。同行朋友比較敏感覺得隔音一般般，我是睡死型就覺得隔音還可以。下次還會再住，主要地點跟價錢實在ＣＰ值超高。",10.0,2018年9月19日星期三,2018/9/19
6377b85a18a3c8fc66598efa,"服務很好,設計新穎,我很喜歡”",,,"提早到台北開會的我,詢問櫃檯能否先進房休息,不同於其他飯店,他們馬上幫我安排,讓我能安靜地準備隔天要向客戶提報的資料,房間很新穎舒適,下次出差還要來住",10.0,2016年6月4日星期六,2016/6/4
6377b85a18a3c8fc66598efb,交通便利，距離捷運台北車站和西門町很近。”,,,走台北車站Z10出口，步行10分鐘以內即可抵達旅店。房間不大，走道較狹窄，不過環境設施整潔新穎，有免費飲料吧、洗衣機、健身器材，自助式早餐一般般。步行數分鐘即可到達西門町，附近餐館、咖啡店多，逛街覓食都很便利。有一點小缺失是人已經check in在房間裡了，突然有維修人員要進來修理蓮蓬頭架子，希望以後維修事宜能在客人check out到check in之間空檔進行。,8.0,2016年6月22日星期三,2016/6/22
6377b85a18a3c8fc66598efc,住宿舒适，客服友善，免费咖啡的Welcome Drink振奋人心”,,,相对优越的地理位置，离台北车站不算远，隔壁就是重庆南路的书店街。 房间整洁舒服，虽然有点偏小但设备齐全，物况颇新。 客服友善有礼，让人住的舒适安心。 顶楼还有阳台可以嗮太阳看市景; 大厅外的 Lounge Area有好喝的咖啡，可作片刻憩息或慵懒发呆。,8.4,2016年8月3日星期三,2016/8/3
6377b85a18a3c8fc66598efd,各樣都很好”,,,"地點很方便,鄰近台北車站及西門町 服務員很有禮貌, 房間很舒適,但是不知是否牆壁較薄,總覺得有人開房門",9.6,2016年7月4日星期一,2016/7/4
6377b85a18a3c8fc66598efe,ㄧ應具備”,,,照片拍得非常精美入住之後更覺得比照片更實在整個就是五星級飯店的服務與設備。到台北小資旅遊最佳選擇一定不會後悔,10.0,2017年4月2日星期日,2017/4/2
6377b85a18a3c8fc66598eff,物超所值”,,,"新裝修旅店,櫃台人員訓練有素,常保笑容,離台北車站很近,我很滿意",10.0,2016年5月20日星期五,2016/5/20
6377b85a18a3c8fc66598f00,非常便宜及應有盡有”,,,除了隔音問題，其他都非常好！ 地點方便，往西門町及台北車站只是8至10分鐘,9.6,2016年5月27日星期五,2016/5/27
6377b85a18a3c8fc66598f01,位置好 環境好”,,,近台北車站 行兩條街就到。酒店有空中花園。房間很整潔 好,10.0,2016年8月28日星期日,2016/8/28
6377b85a18a3c8fc66598f02,青旅價格，飯店品質，很適合一個人旅遊”,,,當天提早到，服務人員很熱心的告知可以提早入住，不到千元的價格，青旅價格卻擁有個人衛浴空間，凌晨回來也不怕打擾到別人，我覺得很不錯，交通方便鄰近鬧區，下次來台北，還會再入住。,10.0,2020年12月1日星期二,2020/12/1
