_id,title,good_text,bad_text,normal_text,star,time,convert_time
6377b8cae8e63ab21b0dc03d,交通便利，房間很大很舒適，風景超棒，食物好吃，服務親切，幾乎所有的地方都很完美，就只差在隔音實在不好！”,,,由台北市很容易抵達飯店，搭乘953、1068、台灣好行⋯等多路公車大約1-1.5小時可到。飯店附近有超商、咖啡店、海產店、豆花店、特產店⋯吃喝非常方便，野柳地質公園（女王頭）、海洋公園就在對面，治安也很好。從大廳一進門就很清爽舒適，房間很寬廣，床很好睡，備品也很用心挑選。由浴室大落地窗看出去的景色真是太棒了！早、晚餐buffet 很好吃，有許多在地小農產品，地瓜和南瓜湯超好吃一定別錯過！我家挑嘴的小孩吃得讚不絕口！飯店唯一的缺點就是隔音不好，隔壁在浴室說話聽得清清楚楚，有如只隔著木板一樣！偏偏隔壁入住帶小孩的外籍旅客，小孩哭鬧還能忍受，但那母親一直亂尖叫就很誇張了！幸好跟櫃台反應後，服務人員很快處理，鄰房有稍微收斂一點！特別推薦早一點起床沿海岸線人行道往翡翠灣方向慢跑，短短幾公里的景色超美，隨意拍照都像大師作品喔！,8.8,2019年8月30日星期五,2019/8/30
6377b8cbe8e63ab21b0dc03e,兒童與家庭首選”,,,野柳薆悅酒店就在野柳海洋世界旁，備用合作的停車場，到大門後可洽館方，可持打統編發票入住時退停車費，相當方便。野柳薆悅酒店就是定義在親子飯店，即便天候不佳，也不用多花心思在行程規劃，入住後就能享受飯店設施和餐點，室內兒童遊憩區應該是此館賣點，都響應防疫新生活運動，入內穿著襪子、戴口罩且消毒雙手，並實名制登記房號，讓遊玩不用多擔心。 遊樂區設施相當豐富，大人小孩都能盡興玩樂，兒童遊戲區/攀岩牆面/電玩器材/賽車跑道/彈跳床/球池/投籃機等等，小小孩也有分區，避免受屁孩干擾。貼心服務，遊憩區晚間還有DIY親子教室，教學的大姊姊帶領滿屋的孩子們動手玩折氣球，在在都有難忘回憶。房間我們是選擇四人房有兩大床，透明乾淨的浴室，有一大片透明落地窗及大小適中的白色浴缸，乾溼分離，洗手台剛好在浴室與廁所中間，簡約整潔，家庭四人非常合適。 用餐能在野柳附近街上找海產快炒店或選擇在餐廳解決，飯店旁就是7-11，採購不成問題。唯一美中不足的是飲水問題，飯店只有在一樓有飲水機，必須下樓才能裝飲用水，人多時幾乎不敷使用，建議官方能分層分流，也好管理飲水品質。,9.2,2020年11月10日星期二,2020/11/10
6377b8cbe8e63ab21b0dc03f,軟硬兼具CP值高的住宿選擇”,,,我們一家四口在飯店住了兩晚，孩子看到琳瑯滿目的設施玩的不亦樂乎，吃飽晚飯和早飯都要去，大人也不會無聊，旁邊的遊戲機都很新，滿足了大人小孩超用心. 飯店早餐超級澎湃，我們在用餐時間最後30分鐘到，餐廳人員看到盤子空的還是會立即補上，不會因為要收了就讓盤子空著，全家吃的超滿足，元氣滿滿迎接一天的開始. 還要大大讚美飯店服務人員，不論是哪一位哪個區域都很貼心親切的提供協助！ 會列入我們口袋名單，只要是到北海岸就選擇薆悅❣️,10.0,2020年11月12日星期四,2020/11/12
6377b8cbe8e63ab21b0dc040,"完美中的遺憾!所有都很好,除了...”",,,"飯店的地點相當的好,海洋世界&地質公園都在對面而已,員工接待也都相當親切有禮,就算飯店內的停車場滿了,飯店也會負擔房客停在周邊的停車費用,餐點&親子設施更是相當棒!CP值相當高的一家飯店! 但有2點想要抱怨一下... 一個是房間床鋪的整潔,掀開棉被的時後居然還看到好幾根毛髮,有長有短,或許是因為中秋連假你們住房率暴增,導致人手或床單不足才造成,但事實就是事實,看到床鋪上還有上一個旅客的毛髮,我相信沒有人的感受是好的吧! 另一個,因為家人都沒抽菸的習慣,所以對菸味相當敏感,從大廳到房間外的廊道都是飯店清新的味道,但一進房間的時候,一家3口第一時間都覺得,哇~好重的菸味!不知道是你們房間的香精味道我們不習慣,還是真的有人在房間內偷抽菸(野柳有相當多的大陸及韓國遊客,有些還是有在房間內抽菸的習慣),我想跟你們說的是,你們可能無法制止一些習慣不好的遊客,但你們在做房間整理的時候一定知道離開的房客有沒有偷抽菸,你們至少可以做一下味道的清除,或者盡量不要讓該房間給有嬰幼兒同行的旅客住,整晚都在感受不好及味覺疲乏中渡過...1615房客留",9.2,2019年9月16日星期一,2019/9/16
6377b8cbe8e63ab21b0dc041,非常適合小孩放電的飯店”,,,飯店的遊戲區寬敞舒適，非常適合學齡前的幼兒，大孩子可能玩一玩就膩了，小小孩超適合，而且遊戲區很乾淨。 房間乾淨，還可以租借嬰幼兒備品：奶瓶消毒鍋/嬰兒澡盆/床圍，很方便，只是房間不大，如果放了嬰兒床會擁擠，嬰兒沐浴備品是提供施巴的很不錯。 自助式的晚餐略微空虛，有些主菜味道還不錯，價格便宜，還有進步空間。 飯店地點鄰近野柳海洋世界&地質公園，位置非常好，非常適合旅遊安排。,9.6,2019年9月12日星期四,2019/9/12
6377b8cbe8e63ab21b0dc042,野柳親子飯店”,,,位置就在地質公園及海洋世界的旁邊，要來這邊玩的話，住這邊再方便不過，停車的話我們下午四點到就得停到附近的特約停車場，也很近，望海亭餐廳旁邊的帝國停車場，離開時拿磁卡給櫃檯消磁即可，不過得在20分鐘內離場。附近大多是海鮮餐廳，所以這次我訂了含晚餐的方案，感覺有些是非住房民眾來用餐的，因為在進入飯店的門口，幫我們量體溫的服務人員，也都會問要來住宿還是用餐，菜色方面以buffet來說，算是很少，熟食冷盤沒幾樣，沒有生魚片，有沙拉、玻璃瓶汽水、咖啡機、爆米花機、小蛋糕、冰淇淋櫃、現煮擔仔麵或米粉，整個用餐下來，燙蝦子很新鮮很好吃，補的也快，擔仔麵也ok，爆米花跟小蛋糕意外的不錯吃，冰淇淋很普，尤其是紅心芭樂口味，可能是解凍又結凍，口感像冰沙之外，味道還很淡，當天似乎有優惠，聽到隔壁桌大人420，需不需要加一成我就不知道了，我自己是覺得不划算，但考量到地點，這附近也沒什麼吃的，晚上就更少了，攜老帶幼的時候，住宿有搭配晚餐很方便，由於晚餐會分時段，所以補菜、收餐盤都還滿勤的，隔天的早餐讓人徹底改觀⋯⋯因為用餐時段是7:30-10:00，人潮多集中在9:00前後，不致於沒位置坐，但入場要等，很多位置上餐盤也沒收，地上也有一些食物殘渣，感覺像戰場，食物方面其實ok，也是一樣品項不多，重點的白粥空了許久，最後補上的是很稀的地瓜粥，咖啡機兩台輪流當機，因為得坐到很遠的地方，還得不時跑過來看有沒有補、修理好了沒？實在讓人洩氣。最值得讚賞的親子遊戲場地在對面的分館，外面有無料投籃機、感覺應該要投錢的行動KTV，脫鞋著襪(沒帶的話，現場販賣成人$50小孩$30)進入場內更是一片新天地，有3歲以下的軟墊爬行區，大一點的小朋友可以玩的更多，有大小車子(非電動)的車道、彈跳床、釣魚機、跳舞機、大人休息座椅，感覺小朋友玩到休息時間的晚上10點都不會累，隔天11點退房後，也可跟櫃檯詢問，繼續玩到12點。,9.6,2020年2月18日星期二,2020/2/18
6377b8cbe8e63ab21b0dc043,親子CP值高的飯店”,,,"訂海景房,老公有點失望,因為他覺得飯店前面的地質公園停車場很煞風景,但我覺得躺在床上的海景藍天還是很不錯的! 親子設施算是親子飯店這種價位可以說很有誠意,還有遊戲場裡面的電玩設施也都不用投幣,很不錯!孩子都玩到一玩再玩,玩到退房! 對面就是海洋公園,是過個馬路就到的概念,非常近! 餐食算是好吃的! 選擇也多樣!! 工作人員服務態度都不錯! 唯獨缺點就是工作人員太少! 尤其是遊戲場的! 一個人監控進場人數登記,還要賣東西結帳(有人要買襪子的話),還要三不五時看一下小孩有沒有守秩序, 最扯的是 還要跑到門口對面櫃台賣爆米花(如果有人要買,他們就會有人從遊樂場出衝來賣你)! 再來就是餐廳進場流程有問題, 7點場,你們應該6:50左右就可以向已經排隊的客人做人數及客房號碼確認,7點整就開放入場比較快,結果不是,7點才開始確認,然後還非常慢,只有一個人用紙本人工確認,真是耽誤大家用餐時間,也很沒效率!",9.2,2019年7月22日星期一,2019/7/22
6377b8cbe8e63ab21b0dc044,平價親子飯店，兒童遊戲區很棒”,,,適合攜帶學齡前及小學孩童的旅客，新設的兒童遊戲區可媲美坊間收費的室內遊戲園；還有電玩區，小孩玩得非常開心。 飯店地點方便，在野柳海洋公園對面，到地質公園也很近，走路3-5分鐘。 飯店前方就是海景，沿海堤走風景優美。 房間乾淨，可惜房間內因為濕氣而有發霉的小區塊及破損的小角落。 整體而言，風景優美，平價的親子飯店。,8.8,2019年7月19日星期五,2019/7/19
6377b8cbe8e63ab21b0dc045,瑕不掩瑜”,,,"飯店員工親切 有需求也會及時幫忙達成 但 飯店以親子飯店聞名 可是房間內仍有許多邊角未修整 容易造成孩子撞傷 我們此次使用豪華房(一大床) 床邊的電視下方有做造型層板 孩子剛滿2歲 在房間行走時 撞傷2次 跟櫃臺詢問後 雖沒有防撞邊角 但仍盡量提供我封箱膠帶以及衛生紙 可以略做補強 親子遊戲設施很好玩 設施區的員工們也隨時提供協助 以及勸導孩子不適合,可能危害其他孩子的行為 希望能再加強房間的防撞 邊角的修飾工作 就更佳完美了 期待下回入住時 能看到更加安全及親子友善的環境",8.4,2019年8月29日星期四,2019/8/29
6377b8cbe8e63ab21b0dc046,很讚”,,,飯店地點很好，機能優，服務人員有禮貎，有反應問題也都有盡力協助處理 兒童遊戲區玩的遊戲機台也不少，但因較無工作人員訂定限制遊玩時間，放假人潮多時較需要家長在旁協助協調輪流玩，搶遊戲機台或罷佔機台太久問題 早餐及晚餐自助餐因人手不足，補菜很慢，出菜時也不對，早上吃早餐要什麼沒什麼，等補菜完都快到用餐結束時間了，連牛奶都沒有，雖然知道是因為人手不足但這真的需要改進，覺得美中不足之處,8.4,2020年3月8日星期日,2020/3/8
