_id,title,good_text,bad_text,normal_text,star,time,convert_time
6377b75d6766b9d18206923b,"早餐款式多, 地點方便”",,,"到達酒店已經十點, 根據地址及指示牌進入了升降機, 本想按1/F, 但原來已是1/F, 後來幸好遇到其他香港人才知道CHECK-IN 是要走入一條黑暗窄路, 猜不到當時位置是酒店後門。酒店大堂有24小時飲料(熱水茶包, 橙汁, 西柚汁, 咖啡等)提供。早餐款式多, 粥粉麵飯, 蒸包, 多士, 沙律, 豆漿, 芭樂等。因為有一個兩歲半小童, 所以我訂了一間三人房, 最後酒店提供了一間家庭房, 有按摩浴缸, 真是開心, 有一張雙人床就不用怕小童晚上跌到地上。但廁所板的蓋裂了, 問題不大, 我没有投訴, 第二天員工換了一個新。另外廁所有一邊浴簾不夠闊, 真的怕有人看到。睡覺時發現冷氣機聲音較大。整理房間後, 床舖上有少許毛髮, 没有的話整潔方面是完美。房間WIFI 近房門才能接收, 可能房間偏遠, 酒店可改善一下。這間酒店算是集團式，有西門日記-六福西門館, 高絲旅時尚旅店-西門町漢口館, 台北日記旅店等, 在CHECK-IN 櫃枱的單張看到。酒店有優惠的話, 下次會再入住。",7.6,2016年9月17日星期六,2016/9/17
6377b75e6766b9d18206923c,喜出望外，性價比高。”,,,六月時意外地訂錯了六福館，我原本想訂的是中華館。網上對六福館的評價好壞參半，加上今次有長者及幼童同行，一直很擔心飯店的質素。 飯店比想像中易找，位置得近西門町，很方便。 我訂的是四人房，房間整潔及寬敞。早餐種類多，家人都覺得很滿意。 FRONTDESK 的STAFF 叫ANDREW 態度親切友善! 整體而言，性價比高!,8.4,2017年8月3日星期四,2017/8/3
6377b75e6766b9d18206923d,靠近西門町步行街和地鐵西門站，性價高”,,,一家子在外逛了一天后搭地鐵到西門站，悠閒的逛了西門町商圈還買了食物大包小包的回酒店，可以坐在餐廳吃，餐廳有24小時免費提供飲料。柜台人員都很熱情，有問必答。,10.0,2017年6月19日星期一,2017/6/19
6377b75e6766b9d18206923e,很讚”,,,位置方便，近西門町步行街，購物方便，交通乜很方便， 7分钟左右到西門町捷運站 不便之處是晚上回旅館，因西門日記-六福館照牌太細，另我们看不到繞了幾圈才看到,8.8,2016年9月4日星期日,2016/9/4
6377b75e6766b9d18206923f,平日CP值高”,,,住愛客發集團的西門日記系列旅店很多次了，每個館的品質都差不多，房間也都長得差不多，浴室也都是乾濕分離的，也都能看到他們是真的會換床單（常常在外面看到有一車車的被單），但隔音都不是很佳，會聽到走廊有人經過時的談話聲，但總結還是很不錯的！,9.6,2018年9月13日星期四,2018/9/13
6377b75e6766b9d182069240,地點方便 周邊生活機能便利 靠近西門町大街”,,,地點方便 周邊生活機能便利 靠近西門町大街 空間大 環境乾淨,10.0,2016年12月11日星期日,2016/12/11
6377b75e6766b9d182069241,CP值高，房價便宜，離西門町商圈近”,,,1F大廳24H咖啡飲料吧，自助式早餐。 提供借愛心傘，有美食旅遊地圖。 床舒適，浴室毛巾乾淨，蓮蓬頭水壓強好洗。 外觀是舊大樓，但1F接待大廳寬敞舒適。 別樓層雖有娛樂場，但電梯刷卡才可按樓層，且搭乘多半是觀光房客，安全上是沒問題的。 以低價飯店來說，這樣已經很值回票價了。,9.2,2016年9月23日星期五,2016/9/23
6377b75e6766b9d182069242,方便”,,,原來西門日記旅館同高絲旅館是同一間酒店，我去到先知，真係笑左出來，價錢如果我訂高絲旅會平小小，我以前去都有住過高絲旅，我覺得方便，落街就是西門町,7.6,2016年9月10日星期六,2016/9/10
6377b75e6766b9d182069243,來住了第二次”,,,很便宜 而且工作人員願意替我們保留房間 雖然房間的隔音不太好 但是早餐豐盛 飲料和冰塊都任拿 真的很值得 下次到西門町會再住回這一間,8.0,2017年1月5日星期四,2017/1/5
6377b75e6766b9d182069244,很好”,,,離捷運也有一段距離，不過到西門町很近，前台人員很熱情，房間大致上很滿意，不算小。,8.0,2017年8月3日星期四,2017/8/3
6377b75e6766b9d182069245,性價高 服務好 地點佳 乾淨整潔”,,,柜台人員親切樂於幫助，房間整潔不用質疑，住的四人房像是裝修過，看起來很新，跟走廊成了對比。三 四樓是娛樂場所，但不影響住宿環境（不吵鬧）。早餐選擇多，另外餐廳提供的飲料是24小時供應的，旅客可以自行到餐廳自取。還有哦，櫃檯可以幫你預約機場接送或包車，價錢合理。下次來還會選擇這家。,10.0,2017年6月19日星期一,2017/6/19
6377b75e6766b9d182069246,整體ok”,,,地理位置方便，開車北上夜停洛陽停車場，附近就可以逛街，附中西式早餐，服務人員態度佳；可惜房間隔音不好，因為沒窗戶，所以有點異味，公共電梯會有遊藝場所客人一起使用，感受不佳。,7.6,2017年2月28日星期二,2017/2/28
6377b75e6766b9d182069247,尚可”,,,環境小複雜但地點確實方便，離西門町步行非常近，房間整潔度還行，但隔音效果非常差。早餐冷氣非常強，人有點多要搶位置，不過以中式早餐來說算非常豐富，幾乎可以等同午餐的buffet！,6.0,2016年10月8日星期六,2016/10/8
6377b75e6766b9d182069248,地點位置方便”,,,飯店地點位置鄰近熱鬧區，逛街、吃東西方便，房間空間大，不會有壓迫感。,7.2,2016年7月19日星期二,2016/7/19
6377b75e6766b9d182069249,普通”,,,住宿的外國旅客很多，早餐時段較擁擠，房間內的裝潢較老舊、昏暗，但房價算台北市便宜的，地理位置佳，房內是冷氣機空調，不是很冷！走廊都還比較涼...，沒有小夜燈，如果有可調式夜燈，對於有嬰幼兒隨行的家庭會比較方便。,6.0,2017年11月22日星期三,2017/11/22
6377b75e6766b9d18206924a,還不錯”,,,"特價時間體驗住宿,升級較大房型,感覺不錯 ,位在西門町中,離捷運站也要步行10分鐘左右.同棟大樓共用電梯需等待,. 倒是背包客不錯選擇",6.0,2017年3月28日星期二,2017/3/28
6377b75e6766b9d18206924b,地點便利”,,,"價格合理,早餐豐富 但房間清潔需要加強,窗台邊有遺留未整理的紙杯,及廁所有未清理使用過的牙刷放在沖澡的拉門上",7.6,2016年7月5日星期二,2016/7/5
6377b75e6766b9d18206924c,這個價錢在西門盯算便宜！”,,,隔音很差！晚上睡覺聽得到隔壁房講話跟走廊腳步聲！浴室沒有乾濕分離！房間地板比較髒！其他都還好！樓下有特殊營業場所，出入的人較複雜！不過電梯樓層要拍門卡才能上去還算安全！下次會考慮住其他館看看！,8.0,2017年7月22日星期六,2017/7/22
