_id,title,good_text,bad_text,normal_text,star,time,convert_time
6377b8ab87cace3891c22c54,性價比100分，背包客首選”,,,捷運站2分鐘，晴光美食街5分鐘，7-11就在對面...地點滿分了！ 一二樓的大廳寬敞明亮乾淨，還有撞球台，6台按摩椅，二台電腦，4台洗衣烘乾機..咖啡果汁可樂汽水，全部免費無限時使用...夠資格滿分了！ 櫃檯人員親切專業，有問必達...房務人員認真有禮，經常看到在清潔環境(這可是總長超過100公尺的場所....)走廊中的洗手檯，飲水機，廁所，幾乎很少看到水漬殘留....工作人員的認真，沒有100也有90分了！ 沐浴間超過10間，洗澡免排隊，這又是個讓人開心的設施了... 早餐的菜色雖然沒啥變化，但是分量足夠，吃光了也馬上補齊..比起其他的背包店只簡單的提供三明治/漢堡，光這點就讓人感動了... 500元台幣，擁有以上的服務...坦白說：台北市應該是找不到第二家了...大力推薦給預算型客人！,10.0,2016年10月4日星期二,2016/10/4
6377b8ab87cace3891c22c55,CP值非常高的住宿”,,,以這個價位可以住到台北市且附有早餐的房間真的屈指可數，雖然房間較小可是打掃的很乾淨，但燈具僅能透過電話上的按鍵操控在開燈時會有些不方便，但尚可接受，飯店離晴光商圈走路即可到，各項機能也很方便，且飯店樓下即是超大間的寶雅，下次會再入住！,8.8,2017年11月2日星期四,2017/11/2
6377b8ab87cace3891c22c56,沒別的，內裝超棒!幾乎無法挑剔”,,,這裏應該是舊的集合住宅改建，因三樓以上保留初原貌，但飯店是1-2樓所以不影響。位置在林森北路上，近捷運中山國小站，交通方便，內分客房與青年住宿，剛落成，設備新非常好，公共空間大。,10.0,2016年7月25日星期一,2016/7/25
6377b8ab87cace3891c22c57,便宜乾淨cp值高”,,,"和男友一起住，兩人都覺得這家不錯，便宜，二樓有免費按摩椅、泡麵販賣機。 一樓有寶雅想買東西很方便，地下一樓有停車場（但跟旅店是無優惠價配合）但停好直接可搭電梯上來一樓櫃檯check in,不然台北市外面停車位會很難找。 缺點是隔音差（晚上睡覺可以聽到門外走廊聲音）",10.0,2020年6月22日星期一,2020/6/22
6377b8ab87cace3891c22c58,CP值超高的旅館，下次旅行會再選擇的旅店”,,,臨近中山國小捷運站從捷運到旅館步行約兩分種就到，樓下剛好是間寶雅如果要買生活用品下樓就可以購買了，非常方便。旅館的公設跟交誼廳應有盡有，有免費的咖啡奶茶喝到飽，房間很舒適床很舒服又軟，浴室是乾濕分離。旅店附的早餐種類多又好吃，有中式西式還有飯類，真的讓人很驚豔，下次旅行會再次選擇這家。,9.6,2017年5月31日星期三,2017/5/31
6377b8ab87cace3891c22c59,性價比非常高，下次還會入住♥”,,,外出遊玩最辛苦的就是腿兒了，飯店大廳有Tokyo按摩椅，非常令人驚艷與貼心，房間小而美，浴室水量很大，非常棒，早餐也多樣性，已經期待下次的台北之旅了，下次的第一選擇依然是這間。,10.0,2017年4月11日星期二,2017/4/11
6377b8ab87cace3891c22c5a,交通方便，住宿親民”,,,台北車站淡水線民權西路轉橙色地鐵線（南勢角方向），中山國小站二號出口，經過小學門口，轉入日韓百貨小巷便看到。第一次到會比較難找。附近出行可以打的，去寧夏夜市也十分近。 大堂有免費按摩椅，但多人用都有點不健全。也有電腦供住客用。 旅館只有一層，包早餐，大堂常有住客坐下來，很有青年住宿親切感，不像大型酒店的清清。 會再選擇入住。,8.0,2018年4月10日星期二,2018/4/10
6377b8ab87cace3891c22c5b,"除了房間打掃的叔叔比較友善, 其他員工一律黑臉”",,,"來台灣這麼多次, 住過這麼多旅館飯店, 從來未遇過前台員工一律是這麼冷漠. 每個都沒有笑容, 沒有眼神交流, 語氣冷淡, 好像是客人打擾到他們的安寧似的, 完全沒有服務業該有的基本禮儀. 如果只是偶爾一人這樣, 我會覺得是個人素質問題, 但全員都這樣, 公司應該也要注意一下吧? 令人感覺很不舒服, 就算價錢低也不會考慮再入住. 整體格局比較像hostel, 房間都在同一層, 有一望無際的走廊, 很特別. 房間空間比照片效果小, 沒有桌子, 只有一個床頭櫃, 幸好床可以輕易移動, 挪出一點位置放行李箱. 窗戶很糟, 只有布簾, 沒有紗簾, 打開的話, 對面樓房的人可以清楚房內的一舉一動, 所以白天都沒辦法打開, 有窗跟沒窗根本一樣. 旅館優點是有飲水機, 聯誼室, 電梯到房間樓層. 本人很少留這麼負面的評語, 希望店家關注及反省.",8.4,2019年11月28日星期四,2019/11/28
6377b8ab87cace3891c22c5c,六星級的背包住宿”,,,住上鋪，可以隨意翻身沒有影響下鋪安寧的擔憂。 二樓交誼廳特大，還提供免費按摩椅。 中西式自助早餐，菜色多樣美味，冷熱飲齊全，飯店等級。 唯一小缺點，公共洗手台污漬需要注意，會更完美。,9.6,2019年9月10日星期二,2019/9/10
6377b8ab87cace3891c22c5d,這裡台北住宿很不錯”,,,酒店位置不錯，捷運中山國小站步行只要3分鐘，櫃台及行李服務員都非常有禮友善，未到入住時間幫忙寄放行李，登記手續也很快速，亦講解各項資料，進入房間非常滿意，麻雀須小五臟俱全，有窗戶景觀，沐浴水量亦充足又24小時有熱水，房間淨潔夠光亮，自助早餐也很不錯。,8.8,2020年1月13日星期一,2020/1/13
