name,good,good_tfidf,normal,normal_tfidf,bad,bad_tfidf
台北老爺大酒店 (Hotel Royal Nikko Taipei)_價格,"['消毒鍋', '方便性', '度到', '乾靜', '奶粉', '體重機', '鞋子', '椅凳', '清淨', '擺放', '奶瓶', '平台', '寶寶', '烘乾機', '澡盆', '房間', '規劃', '空氣', '公司', '嬰兒']","[0.33127077 0.2227235  0.2227235  0.2227235  0.19850196 0.19850196
 0.19850196 0.19850196 0.18985692 0.18985692 0.18254764 0.18254764
 0.17621606 0.16563539 0.15699035 0.15451981 0.15319501 0.15319501
 0.15319501 0.14968107]","['細節', '維護', '確實', '新型', '這麼多', '特價', '有名', '嘗試', '知名', '日系', '飯店', '當然', '頻道', '指標', '房間', '捷運', '原本', '品牌', '用心', '舒適']","[0.28522216 0.28115945 0.26274371 0.2423379  0.23178374 0.22286033
 0.22286033 0.22286033 0.21513052 0.20831234 0.19995528 0.196696
 0.19165912 0.18702564 0.17802276 0.16224058 0.16208865 0.15153449
 0.14057973 0.13109821]","['五星', '疫情', '自取', '菜單', '行李小哥', '高檔', '稍稍', '回電', '外送', '選擇', '解釋', '舒適度', '咖啡', '確實', '至少', '餐點', '菜色', '關係', '期間', '飯店']","[0.39806216 0.26238736 0.24283468 0.24283468 0.24283468 0.24283468
 0.22796209 0.21642602 0.21642602 0.19477399 0.19212777 0.19212777
 0.167028   0.15962997 0.15629346 0.14740915 0.14475739 0.14223503
 0.13753197 0.1328567 ]"
台北凱達大飯店 (Caesar Metro Taipei)_價格,"['飯店', '價格', '性價', '星級', '房間', '萬華', '舒適', '龍山寺', '車站', '品質', '服務', '推薦', '優惠', '便宜', '停車', '空間', '喜歡', '高級', '隔音', '清潔']","[0.32772836 0.31937651 0.25377937 0.23793729 0.14955811 0.13782039
 0.12312807 0.11120688 0.10839232 0.10806675 0.10480604 0.10362823
 0.1028226  0.09337525 0.09232017 0.0879505  0.08738058 0.08479764
 0.08207925 0.08020144]","['飯店', '價格', '停車塔', '性價', '房間', '萬華', '特價', '超值', '價位', '凱達', '乾淨', '位置', '取車', '整體', '設施', '不錯', '至少', '舒適', '空間', '時間']","[0.36505282 0.23033586 0.2092474  0.20857729 0.1578626  0.14508383
 0.13949826 0.13015012 0.11423146 0.11376761 0.11283284 0.10914187
 0.10881287 0.1069523  0.09871537 0.09678244 0.09234063 0.09231777
 0.09154204 0.08982459]","['價格', '房間', '耗時', '夜市', '取車', '飯店', '性價', '火車站', '同樣', '其實', '清潔', '地板', '一萬多', '比來', '紅酒', '方便性', '無功無過', '感覺', '設備', '陣味']","[0.34466665 0.24739261 0.16629477 0.16629477 0.1590524  0.15312421
 0.13522309 0.13497483 0.13151847 0.11541215 0.11106361 0.10744089
 0.10134633 0.10134633 0.10134633 0.10134633 0.10134633 0.10039509
 0.09847284 0.09329317]"
兄弟大飯店 (Brother Hotel)_價格,"['飯店', '價格', '實用', '實惠', '平易', '房間', '用品', '早餐', '舒適', '中等', '住宿', '品質', '值得', '隔音', '備品', '服務', '好用', '交通', '外出', '質感']","[0.39867424 0.23515345 0.21422639 0.21352858 0.20597891 0.17435351
 0.16848374 0.16041025 0.14354161 0.13731927 0.13516821 0.13438214
 0.12889198 0.12758301 0.1263628  0.12218195 0.12119766 0.11961801
 0.10783293 0.10783293]","['飯店', '交通', '房間', '巨蛋', '早餐', '價格', '兄弟', '相當', '性價', '餐廳', '服務', '翻新', '沒有', '人員', '地點', '入住', '便利', '親切', '音樂劇', '選擇']","[0.46118385 0.22383942 0.18950673 0.17938145 0.1773784  0.17409733
 0.1644905  0.16364654 0.16257791 0.13788429 0.13611557 0.11087512
 0.10913258 0.1029386  0.09957704 0.09782428 0.0956081  0.0900446
 0.08599025 0.08485018]","['價格', '市中心', '屁股', '精華', '說算', '犯人', '那裡', '整潔', '員工', '總體', '地點', '出口', '地段', '小孩', '位於', '很近', '飯店', '值得', '缺點', '這樣']","[0.47852591 0.2308792  0.2308792  0.22082408 0.22082408 0.22082408
 0.20495829 0.1858478  0.18405425 0.17409523 0.17066804 0.16338744
 0.16023513 0.14916805 0.14436934 0.14211798 0.14172903 0.13787355
 0.1302545  0.12516007]"
德立莊酒店 (Hotel Midtown Richardson)_價格,"['價格', '性價', '西門町', '優惠', '地點', '乾淨', '位置', '飯店', '房間', '舒服', '出口', '德立莊', '價錢', '便宜', '酒店', '舒適', '實惠', '評論', '捷運', '超棒']","[0.31602296 0.26215261 0.23111026 0.20711954 0.16932555 0.16100293
 0.15703487 0.15307963 0.15063034 0.13919309 0.13141043 0.1290036
 0.12832826 0.12539292 0.12539292 0.12401082 0.11068506 0.10764408
 0.10589688 0.1051551 ]","['價格', '房間', '西門町', '性價', '地點', '位置', '價錢', '不錯', '入住', '住宿', '官網', '親友', '價位', '乾淨', '早餐', '飯店', '便宜', '交通', '明細', '下訂']","[0.27667346 0.2702735  0.22525387 0.20235732 0.17988725 0.17326989
 0.15731988 0.15023407 0.13602857 0.1194197  0.11625823 0.11357666
 0.11082497 0.10946805 0.10119046 0.10119046 0.09974762 0.09577158
 0.0896889  0.0896889 ]","['飯店', '價格', '你們', '價錢', '礦泉水', '飛漲', '住宿', '便宜', '穩定', '少年', '大嬸', '人房', '性價', '房間', '德立莊', '那麼', '位置', '打電話', '入住', '商店']","[0.29965213 0.25480572 0.20543849 0.19107868 0.18079216 0.17629053
 0.16487429 0.14558277 0.14463373 0.1322179  0.1322179  0.13151167
 0.11760934 0.11736437 0.1084753  0.10235368 0.09943728 0.09851096
 0.09355027 0.09051471]"
板橋凱撒大飯店 (Caesar Park Hotel Banqiao)_價格,"['飯店', '性價', '價格', '房間', '價錢', '板橋', '泳池', '優惠', '乾淨', '划算', '高級', '五星級', '位置', '住宿', '獲得', '會員', '寬敞', '耶誕城', '便宜', '舒適']","[0.30177669 0.29531426 0.27123739 0.18853855 0.16865504 0.15726967
 0.13992719 0.12962202 0.12091293 0.11745574 0.11402569 0.11215325
 0.10319131 0.10231565 0.10204552 0.10204552 0.09751719 0.09688149
 0.09416987 0.09313192]","['價格', '飯店', '房間', '泳池', '暖氣', '沒有', '溢出', '去年', '服務', '地點', '舒適', '房價', '什麼', '高層', '事項', '降低', '入住', '有點', '優惠', '板橋']","[0.27340814 0.24374074 0.21700552 0.17383952 0.1573434  0.13329974
 0.13257994 0.13257994 0.12469353 0.12162814 0.11186393 0.11104731
 0.10983327 0.10866458 0.10157112 0.10157112 0.10081736 0.0999748
 0.09894369 0.09859727]","['趣淘', '凱撒飯店', '未來', '水準', '價格', '櫃檯', '希望', '電梯', '樂意', '我們', '人員', '疑惑', '符合', '開幕', '即可', '集團', '悶熱', '較為', '凱撒', '由於']","[0.35913397 0.30613775 0.29435179 0.21035477 0.1990202  0.1877305
 0.18057731 0.17579716 0.16856927 0.16108891 0.15384486 0.15306887
 0.14717589 0.14717589 0.14717589 0.14717589 0.13756847 0.13354068
 0.13354068 0.13354068]"
福容大飯店 - 福隆 (Fullon Hotel Fulong)_價格,"['飲料', '打招戶', '茶水', '人賓至如歸', '很多樣', '設想到', '付錢', '過癮', '服務人員', '平實', '防曬乳', '準備好', '海灘', '玩具', '拖鞋', '國際級', '還要', '泡湯', '誠意', '冰塊']","[0.19551603 0.17693403 0.17693403 0.17693403 0.17693403 0.17693403
 0.17693403 0.17693403 0.17693403 0.17693403 0.17693403 0.17693403
 0.17693403 0.17693403 0.15901694 0.15436117 0.15436117 0.15436117
 0.15436117 0.15436117]","['墾丁', '福容', '早餐', '服務', '鲜奶', '渡假感', '福隆', '沙灘', '蛋捲', '怎麼樣', '喜好', '設施', '飯店', '價位', '房間', '範圍', '訂到', '以為', '尚可', '溫暖']","[0.37530311 0.23717708 0.2325529  0.2230688  0.21138369 0.21138369
 0.20217763 0.20217763 0.19439402 0.18765155 0.18765155 0.18341617
 0.17441467 0.15918415 0.15528363 0.15265211 0.14397479 0.12813711
 0.12813711 0.12623147]","['晚餐', '千萬', '美味', '價格', '住宿', '蚊蟲', '房間', '福容', '大陽台', '一客要價', '無景可言', '打折', '推福', '粵樓', '結果', '送到', '福隆', '海灘', '細膩', '飯店']","[0.34300853 0.24327979 0.23556947 0.17039908 0.17039908 0.16701472
 0.14825207 0.14432731 0.14432731 0.14432731 0.14432731 0.14432731
 0.14432731 0.14432731 0.14128046 0.13702359 0.13702359 0.13105602
 0.13105602 0.12617131]"
台北花園大酒店 (Taipei Garden Hotel)_價格,"['房間', '服務', '價格', '性價', '西門町', '飯店', '早餐', '地點', '乾淨', '優惠', '龍山寺', '走路', '推薦', '之上', '分鐘', '品質', '好吃', '舒適', '開車族', '讚譽']","[0.27499735 0.2001222  0.19971186 0.19880195 0.19473463 0.16929365
 0.15013512 0.14267453 0.13566185 0.13088994 0.12583366 0.12164627
 0.11725821 0.11538541 0.11123274 0.11005247 0.10776114 0.10449212
 0.09936798 0.09936798]","['價格', '花園', '性價', '不錯', '飯店', '免費', '低價位', '順手', '地理位子', '乾靜', '店内', '話問', '樓頂', '中正紀念堂', '市場', '天成', '古早味', '滿點', '花市', '舒適']","[0.30531834 0.26425158 0.18143775 0.16164357 0.14516713 0.13127436
 0.12866707 0.12866707 0.12866707 0.12866707 0.12866707 0.12866707
 0.11844296 0.11844296 0.11844296 0.11844296 0.11844296 0.11844296
 0.11844296 0.11421245]","['南門', '酒店', '價格', '即可', '距離', '到達', '不錯', '步行', '樓下', '房間', '寬敞', '捷運站', '樣樣', '改造', '相應', '西門町', '麵包店', '調教', '咖啡店', '超市']","[0.26169649 0.25287602 0.24170594 0.21449051 0.21215389 0.2004889
 0.19866655 0.16843331 0.15885893 0.15771831 0.15600119 0.15414939
 0.1421432  0.1421432  0.1421432  0.13725513 0.13084824 0.13084824
 0.13084824 0.13084824]"
OwlStay Flip Flop Hostel Garden_價格,"['學生', '置物', '床位', '青旅', '住宿', '實惠', '適合', '空間', '價格', '早餐', '硬度', '硬要', '確定', '硬適中', '硬體', '碗盤', '硬件', '碰到', '硬適', '確認']","[0.49864688 0.42026249 0.42026249 0.34917642 0.28569535 0.27079203
 0.2064361  0.17337147 0.16567566 0.14530614 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]","['蚊子', '供應', '一點點', '早餐', '性價', '房間', '誤響', '火警', '赤峰街', '付錢', '附好', '位置', '展覽', '員工', '附送', '蚊香', '走出來', '貴重', '凌晨', '更多']","[0.33427535 0.24659273 0.19286619 0.18363483 0.18361342 0.16349246
 0.16276244 0.14982905 0.14982905 0.14982905 0.14065266 0.13975137
 0.1335349  0.12836674 0.12771926 0.12771926 0.12771926 0.12771926
 0.12280222 0.12280222]","['公設', '單有', '落塵區', '實用', '不太', '垃圾桶', '單人房', '蟑螂', '早餐', '對於', '算是', '沒有', '灰塵', '相當', '好吃', '房間', '客人', '價錢', '覺得', '推薦']","[0.49741764 0.28486095 0.28486095 0.2704455  0.24870882 0.23247348
 0.22566701 0.19138753 0.18266311 0.16911024 0.16911024 0.16888877
 0.15915185 0.15688489 0.14660904 0.14630366 0.14473639 0.14291651
 0.13451485 0.12850106]"
"台北時代寓所 (Hotel Resonance Taipei, Tapestry Collection by Hilton)_價格","['這邊', '莊嚴', '香香', '無敵近', '優先', '豆漿', '阜杭', '隨便', '年輕人', '時尚', '雖然', '感受到', '設備', '空氣', '規劃', '簡潔', '空間', '推薦', '景觀', '星級']","[0.38061469 0.2232519  0.20957867 0.20957867 0.20957867 0.20957867
 0.1989729  0.1989729  0.19030735 0.16602835 0.16173584 0.1573628
 0.15412715 0.15355845 0.15355845 0.14675702 0.14573425 0.14309358
 0.14080815 0.14080815]","['星巴克', '飯店', '房間', '阜杭', '外觀', '床頭', '機車', '氣質', '質感', '咖啡', '介紹', '電影', '網站', '不錯', '優惠', '設計', '喜歡', '漂亮', '手痕', '裝飾']","[0.42090091 0.31470144 0.18678849 0.16069425 0.15039574 0.14785277
 0.14591798 0.14591798 0.14086486 0.12247189 0.11017385 0.10204188
 0.10026383 0.09733888 0.09581201 0.09392685 0.09034103 0.08607065
 0.08558909 0.08558909]","['感受', '真的', '價位', '房型', '大廳', '沒有', '比較', '管理員', '相差', '公寓', '大厦', '中華民國', '婦女', '實名制', '傷害', '實質', '訓練出', '知名度', '協會', '有無']","[0.29883167 0.22747802 0.21551481 0.18398133 0.17995924 0.16120428
 0.15737262 0.15732038 0.15732038 0.15732038 0.15732038 0.15732038
 0.15732038 0.15732038 0.15732038 0.15732038 0.15732038 0.15732038
 0.15732038 0.14481942]"
台北凱撒大飯店 (Caesar Park Hotel)_價格,"['搶到', '升等', '享受', '剛好', '優惠', '體驗', '真的', '價格', '入住', '超棒', '一下子', '碗盤', '碰到', '硬適中', '硬體', '確實', '硬適', '硬要', '硬度', '確定']","[0.62135201 0.35379462 0.34096481 0.34096481 0.27282005 0.22001593
 0.20923273 0.17840091 0.17368662 0.16621369 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]","['房間', '價格', '連接', '浴室', '地下街', '北車', '車站', '價錢', '嚴重', '地點', '優惠', '好不過', '便宜', '洗手台', '微微', '冠狀', '隱身', '接縫處', '壁板', '尿騷味']","[0.20207366 0.15912206 0.15763691 0.15620407 0.14884643 0.14884643
 0.13070206 0.1306915  0.12727326 0.1179782  0.11516938 0.11176187
 0.10653952 0.10345993 0.10288107 0.10288107 0.10288107 0.10288107
 0.10288107 0.10288107]","['裝潢', '期待', '老舊', '飯店', '等級', '凱撒', '設備', '不用', '平價', '商務', '水準', '住宿點', '競爭', '客源', '流失', '五星級', '市場', '評比', '價位', '一樣']","[0.23964237 0.23745596 0.21842801 0.21401397 0.19978851 0.19393901
 0.18350735 0.17525843 0.16784491 0.1644791  0.15274744 0.14164663
 0.14164663 0.14164663 0.14164663 0.14089004 0.13039114 0.13039114
 0.12936213 0.12599631]"
